模拟下注：钢琴,25 | 贝斯,25 | 下注结果：【命中】。2022-12-01 22:04:26 钢琴。本次回收：125。总投入：186，总回收：390，实际收益：76，开关=2
模拟下注：小提琴,5 | 钢琴,5 | 下注结果：【命中】。2022-12-02 13:43:04 小提琴。本次回收：25。总投入：750，总回收：260，实际收益：-524，开关=1
****************************************
模拟下注：小提琴,1 | 钢琴,1 | 下注结果：【未命中】。2022-12-02 13:44:02 圆号。本次回收：0。，总投入：752，总回收：260，实际收益：-526，开关=1
****************************************
模拟下注：吉他,5 | 小提琴,5 | 下注结果：【未命中】。2022-12-02 13:45:58 钢琴。本次回收：0。，总投入：762，总回收：260，实际收益：-535，开关=1
****************************************
模拟下注：吉他,25 | 钢琴,25 | 下注结果：【未命中】。2022-12-02 14:02:24 贝斯。本次回收：0。，总投入：812，总回收：260，实际收益：-581，开关=2
****************************************
模拟下注：吉他,125 | 钢琴,125 | 下注结果：【未命中】。2022-12-02 14:03:22 贝斯。本次回收：0。，总投入：1062，总回收：260，实际收益：-811，开关=2
****************************************
模拟下注：小提琴,1 | 吉他,1 | 下注结果：【未命中】。2022-12-02 14:12:04 贝斯。本次回收：0。，总投入：1064，总回收：260，实际收益：-813，开关=2
****************************************
模拟下注：小提琴,5 | 吉他,5 | 下注结果：【命中】。2022-12-02 14:13:02 小提琴。本次回收：25。总投入：1074，总回收：285，实际收益：-807，开关=2
****************************************
模拟下注：钢琴,1 | 贝斯,1 | 下注结果：【命中】。2022-12-02 14:25:36 贝斯。本次回收：5。总投入：1076，总回收：290，实际收益：-805，开关=2
****************************************
模拟下注：钢琴,1 | 吉他,1 | 下注结果：【未命中】。2022-12-02 14:31:24 竖琴。本次回收：0。，总投入：1078，总回收：290，实际收益：-807，开关=2
****************************************
模拟下注：吉他,5 | 小提琴,5 | 下注结果：【未命中】。2022-12-02 14:35:16 贝斯。本次回收：0。，总投入：1088，总回收：290，实际收益：-816，开关=2
****************************************
模拟下注：吉他,1 | 钢琴,1 | 下注结果：【未命中】。2022-12-02 14:54:36 架子鼓。本次回收：0。，总投入：2，总回收：0，实际收益：-1，开关=1
****************************************
模拟下注：钢琴,5 | 吉他,5 | 下注结果：【命中】。2022-12-02 14:57:30 钢琴。本次回收：25。总投入：12，总回收：25，实际收益：4，开关=1
****************************************
模拟下注：吉他,1 | 钢琴,1 | 下注结果：【未命中】。2022-12-02 14:58:28 圆号。本次回收：0。，总投入：14，总回收：25，实际收益：2，开关=1
****************************************
模拟下注：钢琴,5 | 小提琴,5 | 下注结果：【命中】。2022-12-02 15:08:08 钢琴。本次回收：25。总投入：24，总回收：50，实际收益：9，开关=1
****************************************
模拟下注：吉他,1 | 贝斯,1 | 下注结果：【未命中】。2022-12-02 15:13:56 钢琴。本次回收：0。，总投入：26，总回收：50，实际收益：7，开关=1
****************************************
模拟下注：贝斯,5 | 钢琴,5 | 下注结果：【未命中】。2022-12-02 15:16:50 萨克斯风。本次回收：0。，总投入：36，总回收：50，实际收益：-1，开关=1
****************************************
模拟下注：吉他,25 | 小提琴,25 | 下注结果：【命中】。2022-12-02 15:18:46 吉他。本次回收：125。总投入：86，总回收：175，实际收益：32，开关=1
****************************************
模拟下注：小提琴,1 | 贝斯,1 | 下注结果：【未命中】。2022-12-02 15:19:44 吉他。本次回收：0。，总投入：88，总回收：175，实际收益：30，开关=1
****************************************
模拟下注：贝斯,5 | 小提琴,5 | 下注结果：【未命中】。2022-12-02 15:30:22 架子鼓。本次回收：0。，总投入：98，总回收：175，实际收益：20，开关=1
****************************************
模拟下注：钢琴,25 | 吉他,25 | 下注结果：【命中】。2022-12-02 15:31:20 吉他。本次回收：125。总投入：148，总回收：300，实际收益：54，开关=2
****************************************
模拟下注：钢琴,1 | 小提琴,1 | 下注结果：【未命中】。2022-12-02 15:44:52 吉他。本次回收：0。，总投入：150，总回收：300，实际收益：52，开关=2
****************************************
模拟下注：吉他,5 | 小提琴,5 | 下注结果：【未命中】。2022-12-02 15:45:50 贝斯。本次回收：0。，总投入：160，总回收：300，实际收益：43，开关=2
****************************************
模拟下注：吉他,25 | 小提琴,25 | 下注结果：【未命中】。2022-12-02 15:48:44 架子鼓。本次回收：0。，总投入：210，总回收：300，实际收益：-2，开关=1
****************************************
模拟下注：吉他,125 | 钢琴,125 | 下注结果：【命中】。2022-12-02 15:56:28 吉他。本次回收：625。总投入：460，总回收：925，实际收益：164，开关=1
****************************************
模拟下注：贝斯,1 | 小提琴,1 | 下注结果：【命中】。2022-12-02 16:01:18 贝斯。本次回收：5。总投入：462，总回收：930，实际收益：165，开关=1
****************************************
模拟下注：小提琴,1 | 贝斯,1 | 下注结果：【未命中】。2022-12-02 16:02:16 萨克斯风。本次回收：0。，总投入：464，总回收：930，实际收益：163，开关=1
****************************************
模拟下注：贝斯,5 | 钢琴,5 | 下注结果：【未命中】。2022-12-02 16:05:10 小提琴。本次回收：0。，总投入：474，总回收：930，实际收益：154，开关=1
****************************************
模拟下注：吉他,25 | 小提琴,25 | 下注结果：【未命中】。2022-12-02 16:10:00 竖琴。本次回收：0。，总投入：524，总回收：930，实际收益：108，开关=2
****************************************
模拟下注：贝斯,125 | 小提琴,125 | 下注结果：【命中】。2022-12-02 16:17:44 小提琴。本次回收：625。总投入：774，总回收：1555，实际收益：275，开关=2
****************************************
模拟下注：小提琴,1 | 钢琴,1 | 下注结果：【未命中】。2022-12-02 16:21:36 吉他。本次回收：0。，总投入：776，总回收：1555，实际收益：273，开关=2
****************************************
模拟下注：贝斯,5 | 小提琴,5 | 下注结果：【未命中】。2022-12-02 16:26:26 吉他。本次回收：0。，总投入：786，总回收：1555，实际收益：264，开关=2
****************************************
模拟下注：钢琴,25 | 吉他,25 | 下注结果：【命中】。2022-12-02 16:27:24 吉他。本次回收：125。总投入：836，总回收：1680，实际收益：297，开关=1
****************************************
模拟下注：钢琴,1 | 吉他,1 | 下注结果：【命中】。2022-12-02 16:28:22 吉他。本次回收：5。总投入：838，总回收：1685，实际收益：299，开关=1
****************************************
模拟下注：钢琴,1 | 吉他,1 | 下注结果：【未命中】。2022-12-02 16:29:20 贝斯。本次回收：0。，总投入：840，总回收：1685，实际收益：297，开关=1
****************************************
模拟下注：吉他,5 | 贝斯,5 | 下注结果：【未命中】。2022-12-02 17:00:16 小提琴。本次回收：0。，总投入：850，总回收：1685，实际收益：287，开关=1
****************************************
模拟下注：吉他,25 | 钢琴,25 | 下注结果：【未命中】。2022-12-02 17:08:58 贝斯。本次回收：0。，总投入：900，总回收：1685，实际收益：241，开关=2
****************************************
模拟下注：小提琴,125 | 吉他,125 | 下注结果：【未命中】。2022-12-02 17:12:50 贝斯。本次回收：0。，总投入：1150，总回收：1685，实际收益：11，开关=2
****************************************
模拟下注：钢琴,1 | 贝斯,1 | 下注结果：【命中】。2022-12-02 17:29:16 钢琴。本次回收：5。总投入：1152，总回收：1690，实际收益：13，开关=2
****************************************
模拟下注：贝斯,1 | 吉他,1 | 下注结果：【命中】。2022-12-02 17:42:48 吉他。本次回收：5。总投入：1154，总回收：1695，实际收益：14，开关=2
****************************************
模拟下注：贝斯,1 | 吉他,1 | 下注结果：【未命中】。2022-12-02 17:47:38 竖琴。本次回收：0。，总投入：1156，总回收：1695，实际收益：12，开关=2
****************************************
模拟下注：小提琴,5 | 钢琴,5 | 下注结果：【未命中】。2022-12-02 17:54:24 吉他。本次回收：0。，总投入：1166，总回收：1695，实际收益：3，开关=2
****************************************
模拟下注：吉他,25 | 钢琴,25 | 下注结果：【未命中】。2022-12-02 17:56:20 架子鼓。本次回收：0。，总投入：1216，总回收：1695，实际收益：-42，开关=2
****************************************
模拟下注：贝斯,125 | 吉他,125 | 下注结果：【未命中】。2022-12-02 17:58:16 竖琴。本次回收：0。，总投入：1466，总回收：1695，实际收益：-272，开关=2
****************************************
模拟下注：钢琴,1 | 贝斯,1 | 下注结果：【未命中】。2022-12-02 18:04:04 小提琴。本次回收：0。，总投入：1468，总回收：1695，实际收益：-274，开关=2
****************************************
模拟下注：钢琴,5 | 贝斯,5 | 下注结果：【未命中】。2022-12-02 18:05:02 竖琴。本次回收：0。，总投入：1478，总回收：1695，实际收益：-283，开关=2
****************************************
模拟下注：吉他,25 | 钢琴,25 | 下注结果：【未命中】。2022-12-02 18:12:46 贝斯。本次回收：0。，总投入：1528，总回收：1695，实际收益：-329，开关=2
****************************************
模拟下注：贝斯,125 | 小提琴,125 | 下注结果：【命中】。2022-12-02 18:15:40 贝斯。本次回收：625。总投入：1778，总回收：2320，实际收益：-162，开关=2
****************************************
模拟下注：贝斯,1 | 小提琴,1 | 下注结果：【命中】。2022-12-02 18:18:34 贝斯。本次回收：5。总投入：1780，总回收：2325，实际收益：-161，开关=2
****************************************
模拟下注：小提琴,1 | 贝斯,1 | 下注结果：【命中】。2022-12-02 18:24:22 贝斯。本次回收：5。总投入：1782，总回收：2330，实际收益：-159，开关=2
****************************************
模拟下注：钢琴,1 | 吉他,1 | 下注结果：【未命中】。2022-12-02 18:28:14 贝斯。本次回收：0。，总投入：1784，总回收：2330，实际收益：-161，开关=2
****************************************
模拟下注：钢琴,5 | 吉他,5 | 下注结果：【命中】。2022-12-02 18:29:12 吉他。本次回收：25。总投入：1794，总回收：2355，实际收益：-155，开关=2
****************************************
模拟下注：钢琴,1 | 小提琴,1 | 下注结果：【未命中】。2022-12-02 18:34:02 吉他。本次回收：0。，总投入：1796，总回收：2355，实际收益：-156，开关=2
****************************************
模拟下注：钢琴,5 | 小提琴,5 | 下注结果：【命中】。2022-12-02 18:35:00 钢琴。本次回收：25。总投入：1806，总回收：2380，实际收益：-150，开关=2
****************************************
模拟下注：贝斯,1 | 吉他,1 | 下注结果：【命中】。2022-12-02 18:39:50 吉他。本次回收：5。总投入：1808，总回收：2385，实际收益：-148，开关=2
****************************************
模拟下注：钢琴,1 | 贝斯,1 | 下注结果：【命中】。2022-12-02 18:58:12 贝斯。本次回收：5。总投入：2，总回收：5，实际收益：1，开关=1
****************************************
模拟下注：钢琴,1 | 贝斯,1 | 下注结果：【未命中】。2022-12-02 18:59:10 萨克斯风。本次回收：0。，总投入：4，总回收：5，实际收益：0，开关=1
****************************************
模拟下注：吉他,5 | 小提琴,5 | 下注结果：【命中】。2022-12-02 19:03:02 吉他。本次回收：25。总投入：14，总回收：30，实际收益：6，开关=1
****************************************
模拟下注：小提琴,1 | 吉他,1 | 下注结果：【未命中】。2022-12-02 19:04:00 钢琴。本次回收：0。，总投入：16，总回收：30，实际收益：4，开关=1
****************************************
模拟下注：吉他,5 | 小提琴,5 | 下注结果：【未命中】。2022-12-02 19:05:56 贝斯。本次回收：0。，总投入：26，总回收：30，实际收益：-4，开关=1
****************************************
模拟下注：钢琴,25 | 贝斯,25 | 下注结果：【未命中】。2022-12-02 19:10:46 圆号。本次回收：0。，总投入：76，总回收：30，实际收益：-50，开关=2
****************************************
模拟下注：钢琴,125 | 贝斯,125 | 下注结果：【命中】。2022-12-02 19:13:40 贝斯。本次回收：625。总投入：326，总回收：655，实际收益：116，开关=2
****************************************
模拟下注：小提琴,1 | 贝斯,1 | 下注结果：【未命中】。2022-12-02 19:20:26 竖琴。本次回收：0。，总投入：328，总回收：655，实际收益：114，开关=2
****************************************
模拟下注：小提琴,5 | 贝斯,5 | 下注结果：【命中】。2022-12-02 19:29:08 小提琴。本次回收：25。总投入：338，总回收：680，实际收益：120，开关=2
****************************************
模拟下注：贝斯,1 | 吉他,1 | 下注结果：【命中】。2022-12-02 19:36:52 吉他。本次回收：5。总投入：340，总回收：685，实际收益：122，开关=2
****************************************
模拟下注：贝斯,1 | 吉他,1 | 下注结果：【未命中】。2022-12-02 19:47:30 小提琴。本次回收：0。，总投入：342，总回收：685，实际收益：120，开关=2
****************************************
模拟下注：吉他,5 | 贝斯,5 | 下注结果：【命中】。2022-12-02 19:48:28 贝斯。本次回收：25。总投入：352，总回收：710，实际收益：127，开关=2
****************************************
模拟下注：小提琴,1 | 钢琴,1 | 下注结果：【命中】。2022-12-02 19:52:20 钢琴。本次回收：5。总投入：354，总回收：715，实际收益：128，开关=2
****************************************
模拟下注：贝斯,1 | 钢琴,1 | 下注结果：【命中】。2022-12-02 19:56:12 钢琴。本次回收：5。总投入：356，总回收：720，实际收益：129，开关=2
****************************************
模拟下注：贝斯,1 | 小提琴,1 | 下注结果：【未命中】。2022-12-02 20:20:22 钢琴。本次回收：0。，总投入：358，总回收：720，实际收益：127，开关=2
****************************************
模拟下注：贝斯,5 | 小提琴,5 | 下注结果：【未命中】。2022-12-02 20:21:20 吉他。本次回收：0。，总投入：368，总回收：720，实际收益：118，开关=2
****************************************
模拟下注：贝斯,25 | 小提琴,25 | 下注结果：【未命中】。2022-12-02 20:24:14 钢琴。本次回收：0。，总投入：418，总回收：720，实际收益：72，开关=1
****************************************
模拟下注：贝斯,1 | 吉他,1 | 下注结果：【命中】。2022-12-02 21:08:42 贝斯。本次回收：5。总投入：2，总回收：5，实际收益：1，开关=1
****************************************
模拟下注：贝斯,1 | 吉他,1 | 下注结果：【未命中】。2022-12-02 21:09:40 钢琴。本次回收：0。，总投入：4，总回收：5，实际收益：0，开关=1
****************************************
模拟下注：贝斯,5 | 吉他,5 | 下注结果：【未命中】。2022-12-02 21:14:30 小提琴。本次回收：0。，总投入：14，总回收：5，实际收益：-9，开关=1
****************************************
模拟下注：贝斯,25 | 吉他,25 | 下注结果：【未命中】。2022-12-02 21:18:22 小提琴。本次回收：0。，总投入：64，总回收：5，实际收益：-55，开关=1
****************************************
模拟下注：钢琴,125 | 吉他,125 | 下注结果：【命中】。2022-12-02 21:24:10 钢琴。本次回收：625。总投入：314，总回收：630，实际收益：111，开关=1
****************************************
模拟下注：吉他,1 | 钢琴,1 | 下注结果：【命中】。2022-12-02 21:25:08 吉他。本次回收：5。总投入：316，总回收：635，实际收益：112，开关=1
****************************************
模拟下注：吉他,1 | 钢琴,1 | 下注结果：【未命中】。2022-12-02 21:26:06 贝斯。本次回收：0。，总投入：318，总回收：635，实际收益：110，开关=1
****************************************
模拟下注：钢琴,5 | 贝斯,5 | 下注结果：【命中】。2022-12-02 21:28:02 钢琴。本次回收：25。总投入：328，总回收：660，实际收益：117，开关=1
****************************************
模拟下注：贝斯,1 | 吉他,1 | 下注结果：【未命中】。2022-12-02 21:29:00 小提琴。本次回收：0。，总投入：330，总回收：660，实际收益：115，开关=1
****************************************
模拟下注：贝斯,5 | 小提琴,5 | 下注结果：【命中】。2022-12-02 21:37:42 贝斯。本次回收：25。总投入：340，总回收：685，实际收益：122，开关=1
****************************************
模拟下注：贝斯,1 | 小提琴,1 | 下注结果：【命中】。2022-12-02 21:38:40 贝斯。本次回收：5。总投入：342，总回收：690，实际收益：123，开关=1
****************************************
模拟下注：小提琴,1 | 贝斯,1 | 下注结果：【命中】。2022-12-02 21:39:38 小提琴。本次回收：5。总投入：344，总回收：695，实际收益：124，开关=1
****************************************
模拟下注：贝斯,1 | 小提琴,1 | 下注结果：【命中】。2022-12-02 21:40:36 贝斯。本次回收：5。总投入：346，总回收：700，实际收益：126，开关=1
****************************************
模拟下注：小提琴,1 | 钢琴,1 | 下注结果：【命中】。2022-12-02 21:41:34 钢琴。本次回收：5。总投入：348，总回收：705，实际收益：127，开关=1
****************************************
模拟下注：小提琴,1 | 吉他,1 | 下注结果：【未命中】。2022-12-02 21:49:18 竖琴。本次回收：0。，总投入：350，总回收：705，实际收益：125，开关=1
****************************************
模拟下注：小提琴,5 | 钢琴,5 | 下注结果：【未命中】。2022-12-02 21:54:08 吉他。本次回收：0。，总投入：360，总回收：705，实际收益：116，开关=1
****************************************
模拟下注：小提琴,25 | 钢琴,25 | 下注结果：【未命中】。2022-12-02 21:59:56 贝斯。本次回收：0。，总投入：410，总回收：705，实际收益：70，开关=1
****************************************
模拟下注：钢琴,125 | 贝斯,125 | 下注结果：【未命中】。2022-12-02 22:01:52 小提琴。本次回收：0。，总投入：660，总回收：705，实际收益：-159，开关=1
****************************************
模拟下注：钢琴,1 | 贝斯,1 | 下注结果：【未命中】。2022-12-02 22:06:42 竖琴。本次回收：0。，总投入：662，总回收：705，实际收益：-161，开关=1
****************************************
模拟下注：小提琴,5 | 吉他,5 | 下注结果：【未命中】。2022-12-02 22:08:38 贝斯。本次回收：0。，总投入：672，总回收：705，实际收益：-170，开关=1
****************************************
模拟下注：贝斯,25 | 小提琴,25 | 下注结果：【命中】。2022-12-02 22:11:32 贝斯。本次回收：125。总投入：722，总回收：830，实际收益：-137，开关=1
****************************************
模拟下注：小提琴,1 | 钢琴,1 | 下注结果：【未命中】。2022-12-02 22:12:30 贝斯。本次回收：0。，总投入：724，总回收：830，实际收益：-139，开关=1
****************************************
模拟下注：钢琴,5 | 贝斯,5 | 下注结果：【未命中】。2022-12-02 22:19:16 小提琴。本次回收：0。，总投入：734，总回收：830，实际收益：-148，开关=1
****************************************
模拟下注：小提琴,25 | 贝斯,25 | 下注结果：【未命中】。2022-12-02 22:32:48 吉他。本次回收：0。，总投入：784，总回收：830，实际收益：-194，开关=1
****************************************
模拟下注：钢琴,125 | 吉他,125 | 下注结果：【未命中】。2022-12-02 22:34:44 小提琴。本次回收：0。，总投入：1034，总回收：830，实际收益：-424，开关=1
****************************************
模拟下注：贝斯,1 | 钢琴,1 | 下注结果：【命中】。2022-12-02 22:49:14 贝斯。本次回收：5。总投入：1036，总回收：835，实际收益：-422，开关=1
****************************************
模拟下注：钢琴,1 | 贝斯,1 | 下注结果：【未命中】。2022-12-02 22:50:12 架子鼓。本次回收：0。，总投入：1038，总回收：835，实际收益：-424，开关=1
****************************************
模拟下注：吉他,5 | 小提琴,5 | 下注结果：【命中】。2022-12-02 22:56:58 小提琴。本次回收：25。总投入：1048，总回收：860，实际收益：-418，开关=1
****************************************
模拟下注：贝斯,1 | 吉他,1 | 下注结果：【未命中】。2022-12-02 23:04:42 架子鼓。本次回收：0。，总投入：1050，总回收：860，实际收益：-419，开关=1
****************************************
模拟下注：钢琴,5 | 贝斯,5 | 下注结果：【未命中】。2022-12-02 23:11:28 吉他。本次回收：0。，总投入：1060，总回收：860，实际收益：-429，开关=1
****************************************
模拟下注：贝斯,25 | 钢琴,25 | 下注结果：【未命中】。2022-12-02 23:18:14 小提琴。本次回收：0。，总投入：1110，总回收：860，实际收益：-475，开关=2
****************************************
模拟下注：贝斯,125 | 钢琴,125 | 下注结果：【未命中】。2022-12-02 23:19:12 竖琴。本次回收：0。，总投入：1360，总回收：860，实际收益：-705，开关=2
****************************************
模拟下注：贝斯,1 | 钢琴,1 | 下注结果：【命中】。2022-12-02 23:24:02 钢琴。本次回收：5。总投入：1362，总回收：865，实际收益：-703，开关=2
****************************************
模拟下注：钢琴,1 | 小提琴,1 | 下注结果：【命中】。2022-12-02 23:32:44 小提琴。本次回收：5。总投入：1364，总回收：870，实际收益：-702，开关=2
****************************************
模拟下注：贝斯,1 | 吉他,1 | 下注结果：【未命中】。2022-12-02 23:42:24 架子鼓。本次回收：0。，总投入：1366，总回收：870，实际收益：-704，开关=2
****************************************
模拟下注：小提琴,5 | 钢琴,5 | 下注结果：【命中】。2022-12-02 23:50:08 小提琴。本次回收：25。总投入：1376，总回收：895，实际收益：-697，开关=2
************************************
模拟下注：钢琴,1 | 吉他,1 | 下注结果：【未命中】。2022-12-03 09:56:14 贝斯。本次回收：0。，总投入：2，总回收：0，实际收益：-1，开关=1
****************************************
模拟下注：钢琴,5 | 吉他,5 | 下注结果：【未命中】。2022-12-03 09:59:08 小提琴。本次回收：0。，总投入：12，总回收：0，实际收益：-11，开关=1
****************************************
模拟下注：贝斯,25 | 小提琴,25 | 下注结果：【未命中】。2022-12-03 10:02:02 吉他。本次回收：0。，总投入：62，总回收：0，实际收益：-57，开关=1
****************************************
模拟下注：贝斯,125 | 吉他,125 | 下注结果：【未命中】。2022-12-03 10:15:34 钢琴。本次回收：0。，总投入：312，总回收：0，实际收益：-287，开关=1
****************************************
模拟下注：贝斯,1 | 吉他,1 | 下注结果：【未命中】。2022-12-03 10:30:04 小提琴。本次回收：0。，总投入：314，总回收：0，实际收益：-288，开关=1
****************************************
模拟下注：贝斯,5 | 钢琴,5 | 下注结果：【命中】。2022-12-03 10:35:52 钢琴。本次回收：25。总投入：324，总回收：25，实际收益：-282，开关=1
****************************************
模拟下注：贝斯,25 | 吉他,25 | 下注结果：【未命中】。2022-12-03 10:39:44 钢琴。本次回收：0。，总投入：374，总回收：25，实际收益：-328，开关=1
****************************************
模拟下注：贝斯,125 | 钢琴,125 | 下注结果：【命中】。2022-12-03 10:43:36 贝斯。本次回收：625。总投入：624，总回收：650，实际收益：-161，开关=1
****************************************
模拟下注：吉他,1 | 钢琴,1 | 下注结果：【未命中】。2022-12-03 10:44:34 小提琴。本次回收：0。，总投入：626，总回收：650，实际收益：-163，开关=1
****************************************
模拟下注：贝斯,5 | 吉他,5 | 下注结果：【命中】。2022-12-03 10:59:04 贝斯。本次回收：25。总投入：636，总回收：675，实际收益：-156，开关=1
****************************************
模拟下注：贝斯,25 | 吉他,25 | 模拟下注：贝斯,1 | 小提琴,1 | 下注结果：【命中】。2022-12-03 11:14:32 贝斯。本次回收：5。总投入：2，总回收：5，实际收益：1，开关=1
****************************************
模拟下注：贝斯,1 | 吉他,1 | 下注结果：【命中】。2022-12-03 11:54:10 吉他。本次回收：5。总投入：2，总回收：5，实际收益：1，开关=1
****************************************
模拟下注：钢琴,5 | 小提琴,5 | 下注结果：【未命中】。2022-12-03 11:59:58 贝斯。本次回收：0。，总投入：12，总回收：5，实际收益：-7，开关=1
****************************************
模拟下注：钢琴,25 | 吉他,25 | 下注结果：【未命中】。2022-12-03 12:06:44 小提琴。本次回收：0。，总投入：62，总回收：5，实际收益：-53，开关=1
****************************************
模拟下注：钢琴,125 | 吉他,125 | 下注结果：【命中】。2022-12-03 12:11:34 钢琴。本次回收：625。总投入：312，总回收：630，实际收益：113，开关=2
****************************************
模拟下注：吉他,1 | 钢琴,1 | 下注结果：【命中】。2022-12-03 12:18:20 钢琴。本次回收：5。总投入：314，总回收：635，实际收益：114，开关=2
****************************************
模拟下注：吉他,5 | 钢琴,5 | 下注结果：【未命中】。2022-12-03 12:23:10 贝斯。本次回收：0。，总投入：324，总回收：635，实际收益：105，开关=2
****************************************
模拟下注：钢琴,25 | 小提琴,25 | 下注结果：【未命中】。2022-12-03 12:29:56 贝斯。本次回收：0。，总投入：374，总回收：635，实际收益：59，开关=2
****************************************
模拟下注：吉他,125 | 贝斯,125 | 下注结果：【未命中】。2022-12-03 12:30:54 竖琴。本次回收：0。，总投入：624，总回收：635，实际收益：-170，开关=1
****************************************
模拟下注：吉他,1 | 贝斯,1 | 下注结果：【未命中】。2022-12-03 12:38:38 钢琴。本次回收：0。，总投入：626，总回收：635，实际收益：-172，开关=1
****************************************
模拟下注：小提琴,5 | 贝斯,5 | 下注结果：【命中】。2022-12-03 12:48:18 贝斯。本次回收：25。总投入：636，总回收：660，实际收益：-166，开关=1
****************************************
模拟下注：小提琴,25 | 贝斯,25 | 下注结果：【未命中】。2022-12-03 12:49:16 钢琴。本次回收：0。，总投入：686，总回收：660，实际收益：-212，开关=1
****************************************
模拟下注：吉他,125 | 钢琴,125 | 下注结果：【命中】。2022-12-03 12:54:06 吉他。本次回收：625。总投入：936，总回收：1285，实际收益：-45，开关=1
****************************************
模拟下注：钢琴,1 | 吉他,1 | 下注结果：【未命中】。2022-12-03 12:55:04 小提琴。本次回收：0。，总投入：938，总回收：1285，实际收益：-46，开关=1
****************************************
模拟下注：贝斯,5 | 钢琴,5 | 下注结果：【未命中】。2022-12-03 13:11:30 萨克斯风。本次回收：0。，总投入：948，总回收：1285，实际收益：-56，开关=1
****************************************
模拟下注：吉他,25 | 钢琴,25 | 下注结果：【未命中】。2022-12-03 13:14:24 小提琴。本次回收：0。，总投入：998，总回收：1285，实际收益：-102，开关=2
****************************************
模拟下注：吉他,125 | 钢琴,125 | 下注结果：【命中】。2022-12-03 13:15:22 吉他。本次回收：625。总投入：1248，总回收：1910，实际收益：64，开关=2
****************************************
模拟下注：钢琴,1 | 吉他,1 | 下注结果：【未命中】。2022-12-03 13:26:58 竖琴。本次回收：0。，总投入：1250，总回收：1910，实际收益：62，开关=2
****************************************
模拟下注：小提琴,5 | 钢琴,5 | 下注结果：【命中】。2022-12-03 13:29:52 钢琴。本次回收：25。总投入：1260，总回收：1935，实际收益：69，开关=2
****************************************
模拟下注：小提琴,25 | 贝斯,25 | 下注结果：【未命中】。2022-12-03 13:37:36 钢琴。本次回收：0。，总投入：1310，总回收：1935，实际收益：23，开关=2
****************************************
模拟下注：吉他,125 | 小提琴,125 | 下注结果：【未命中】。2022-12-03 14:09:30 圆号。本次回收：0。，总投入：1560，总回收：1935，实际收益：-206，开关=2
****************************************
模拟下注：小提琴,1 | 钢琴,1 | 下注结果：【命中】。2022-12-03 14:11:26 小提琴。本次回收：5。总投入：1562，总回收：1940，实际收益：-205，开关=2
****************************************
模拟下注：小提琴,5 | 钢琴,5 | 下注结果：【命中】。2022-12-03 14:18:12 小提琴。本次回收：25。总投入：1572，总回收：1965，实际收益：-198，开关=2
****************************************
模拟下注：吉他,25 | 小提琴,25 | 下注结果：【命中】。2022-12-03 14:25:56 吉他。本次回收：125。总投入：1622，总回收：2090，实际收益：-165，开关=2
****************************************
模拟下注：钢琴,125 | 贝斯,125 | 下注结果：【未命中】。2022-12-03 14:35:36 小提琴。本次回收：0。，总投入：1872，总回收：2090，实际收益：-395，开关=2
****************************************
模拟下注：钢琴,1 | 贝斯,1 | 下注结果：【未命中】。2022-12-03 14:36:34 架子鼓。本次回收：0。，总投入：1874，总回收：2090，实际收益：-396，开关=2
****************************************
模拟下注：吉他,5 | 小提琴,5 | 下注结果：【未命中】。2022-12-03 14:41:24 钢琴。本次回收：0。，总投入：1884，总回收：2090，实际收益：-406，开关=1
****************************************
模拟下注：吉他,25 | 小提琴,25 | 下注结果：【命中】。2022-12-03 14:49:08 吉他。本次回收：125。总投入：1934，总回收：2215，实际收益：-372，开关=1
****************************************
模拟下注：吉他,125 | 小提琴,125 | 下注结果：【未命中】。2022-12-03 14:50:06 钢琴。本次回收：0。，总投入：2184，总回收：2215，实际收益：-602，开关=1
****************************************
模拟下注：钢琴,1 | 吉他,1 | 下注结果：【未命中】。2022-12-03 14:56:52 小提琴。本次回收：0。，总投入：2186，总回收：2215，实际收益：-604，开关=1
****************************************
模拟下注：贝斯,5 | 吉他,5 | 下注结果：【命中】。2022-12-03 14:59:46 贝斯。本次回收：25。总投入：2196，总回收：2240，实际收益：-597，开关=2
****************************************
模拟下注：贝斯,25 | 吉他,25 | 下注结果：【未命中】。2022-12-03 15:05:34 架子鼓。本次回收：0。，总投入：2246，总回收：2240，实际收益：-643，开关=2
****************************************
模拟下注：小提琴,125 | 吉他,125 | 下注结果：【未命中】。2022-12-03 15:08:28 贝斯。本次回收：0。，总投入：2496，总回收：2240，实际收益：-873，开关=2
****************************************
模拟下注：吉他,1 | 小提琴,1 | 下注结果：【命中】。2022-12-03 15:24:54 小提琴。本次回收：5。总投入：2498，总回收：2245，实际收益：-872，开关=1
****************************************
模拟下注：钢琴,5 | 吉他,5 | 下注结果：【命中】。2022-12-03 15:34:34 钢琴。本次回收：25。总投入：2508，总回收：2270，实际收益：-865，开关=1
****************************************
模拟下注：钢琴,25 | 贝斯,25 | 下注结果：【命中】。2022-12-03 15:41:20 贝斯。本次回收：125。总投入：2558，总回收：2395，实际收益：-832，开关=1
****************************************
模拟下注：贝斯,125 | 钢琴,125 | 下注结果：【未命中】。2022-12-03 15:44:14 竖琴。本次回收：0。，总投入：2808，总回收：2395，实际收益：-1062，开关=1
****************************************
