模拟下注：贝斯,0 | 吉他,0 | 下注结果：【未命中】。2022-12-14 16:46:52 钢琴。本次回收：0。，总投入：0，总回收：0，实际收益：0，开关=1
模拟下注：钢琴,100 | 吉他,100 | 下注结果：【未命中】。2022-12-15 10:39:52 圆号。本次回收：0。，总投入：1370，总回收：590，实际收益：-885，开关=2
****************************************
模拟下注：吉他,0 | 贝斯,0 | 下注结果：【命中】。2022-12-15 10:44:42 贝斯。本次回收：0。总投入：1370，总回收：590，实际收益：-885，开关=1
****************************************
模拟下注：钢琴,0 | 贝斯,0 | 下注结果：【未命中】。2022-12-15 10:47:36 吉他。本次回收：0。，总投入：1370，总回收：590，实际收益：-885，开关=2
****************************************
模拟下注：钢琴,0 | 贝斯,0 | 下注结果：【命中】。2022-12-15 10:50:30 钢琴。本次回收：0。总投入：1370，总回收：590，实际收益：-885，开关=1
****************************************
模拟下注：小提琴,0 | 吉他,0 | 下注结果：【命中】。2022-12-15 10:51:28 吉他。本次回收：0。总投入：1370，总回收：590，实际收益：-885，开关=2
****************************************
模拟下注：钢琴,1 | 贝斯,1 | 下注结果：【命中】。2022-12-15 10:55:20 钢琴。本次回收：5。总投入：1372，总回收：595，实际收益：-884，开关=2
****************************************
模拟下注：吉他,1 | 小提琴,1 | 下注结果：【未命中】。2022-12-15 11:04:02 架子鼓。本次回收：0。，总投入：1374，总回收：595，实际收益：-886，开关=2
****************************************
模拟下注：小提琴,10 | 钢琴,10 | 下注结果：【未命中】。2022-12-15 11:06:56 吉他。本次回收：0。，总投入：1394，总回收：595，实际收益：-904，开关=2
****************************************
模拟下注：钢琴,100 | 小提琴,100 | 下注结果：【未命中】。2022-12-15 11:11:46 贝斯。本次回收：0。，总投入：1594，总回收：595，实际收益：-1088，开关=2
****************************************
模拟下注：贝斯,0 | 吉他,0 | 下注结果：【命中】。2022-12-15 11:12:44 吉他。本次回收：0。总投入：1594，总回收：595，实际收益：-1088，开关=1
****************************************
模拟下注：贝斯,0 | 吉他,0 | 下注结果：【未命中】。2022-12-15 11:17:34 小提琴。本次回收：0。，总投入：1594，总回收：595，实际收益：-1088，开关=2
****************************************
模拟下注：钢琴,0 | 贝斯,0 | 下注结果：【命中】。2022-12-15 11:18:32 钢琴。本次回收：0。总投入：1594，总回收：595，实际收益：-1088，开关=1
****************************************
模拟下注：小提琴,0 | 钢琴,0 | 下注结果：【未命中】。2022-12-15 11:19:30 竖琴。本次回收：0。，总投入：1594，总回收：595，实际收益：-1088，开关=2
****************************************
模拟下注：小提琴,0 | 贝斯,0 | 下注结果：【未命中】。2022-12-15 11:22:24 架子鼓。本次回收：0。，总投入：1594，总回收：595，实际收益：-1088，开关=1
****************************************
模拟下注：吉他,0 | 钢琴,0 | 下注结果：【未命中】。2022-12-15 11:24:20 贝斯。本次回收：0。，总投入：1594，总回收：595，实际收益：-1088，开关=1
****************************************
模拟下注：钢琴,0 | 贝斯,0 | 下注结果：【未命中】。2022-12-15 11:28:12 吉他。本次回收：0。，总投入：1594，总回收：595，实际收益：-1088，开关=1
****************************************
模拟下注：钢琴,0 | 吉他,0 | 下注结果：【命中】。2022-12-15 11:38:50 钢琴。本次回收：0。总投入：1594，总回收：595，实际收益：-1088，开关=2
****************************************
模拟下注：吉他,0 | 贝斯,0 | 下注结果：【未命中】。2022-12-15 11:42:42 钢琴。本次回收：0。，总投入：1594，总回收：595，实际收益：-1088，开关=2
****************************************
模拟下注：小提琴,0 | 钢琴,0 | 下注结果：【未命中】。2022-12-15 11:43:40 吉他。本次回收：0。，总投入：1594，总回收：595，实际收益：-1088，开关=1
****************************************
模拟下注：小提琴,0 | 钢琴,0 | 下注结果：【命中】。2022-12-15 11:46:34 钢琴。本次回收：0。总投入：1594，总回收：595，实际收益：-1088，开关=2
****************************************
模拟下注：贝斯,0 | 钢琴,0 | 下注结果：【未命中】。2022-12-15 12:03:00 萨克斯风。本次回收：0。，总投入：1594，总回收：595，实际收益：-1088，开关=1
****************************************
模拟下注：钢琴,0 | 贝斯,0 | 下注结果：【未命中】。2022-12-15 12:08:48 圆号。本次回收：0。，总投入：1594，总回收：595，实际收益：-1088，开关=1
****************************************
模拟下注：吉他,0 | 小提琴,0 | 下注结果：【命中】。2022-12-15 12:12:40 小提琴。本次回收：0。总投入：1594，总回收：595，实际收益：-1088，开关=1
****************************************
模拟下注：钢琴,0 | 贝斯,0 | 下注结果：【未命中】。2022-12-15 12:13:38 吉他。本次回收：0。，总投入：1594，总回收：595，实际收益：-1088，开关=2
****************************************
模拟下注：小提琴,0 | 吉他,0 | 下注结果：【命中】。2022-12-15 12:14:36 小提琴。本次回收：0。总投入：1594，总回收：595，实际收益：-1088，开关=1
****************************************
模拟下注：小提琴,0 | 贝斯,0 | 下注结果：【命中】。2022-12-15 12:15:34 小提琴。本次回收：0。总投入：1594，总回收：595，实际收益：-1088，开关=2
****************************************
模拟下注：吉他,1 | 钢琴,1 | 下注结果：【未命中】。2022-12-15 12:20:24 贝斯。本次回收：0。，总投入：1596，总回收：595，实际收益：-1090，开关=2
****************************************
模拟下注：钢琴,10 | 小提琴,10 | 下注结果：【未命中】。2022-12-15 12:41:40 吉他。本次回收：0。，总投入：1616，总回收：595，实际收益：-1108，开关=2
****************************************
模拟下注：吉他,100 | 小提琴,100 | 下注结果：【未命中】。2022-12-15 12:45:32 贝斯。本次回收：0。，总投入：1816，总回收：595，实际收益：-1292，开关=2
****************************************
模拟下注：钢琴,0 | 贝斯,0 | 下注结果：【命中】。2022-12-15 12:46:30 钢琴。本次回收：0。总投入：1816，总回收：595，实际收益：-1292，开关=1
****************************************
模拟下注：小提琴,0 | 钢琴,0 | 下注结果：【命中】。2022-12-15 12:47:28 小提琴。本次回收：0。总投入：1816，总回收：595，实际收益：-1292，开关=2
****************************************
模拟下注：小提琴,1 | 钢琴,1 | 下注结果：【未命中】。2022-12-15 12:49:24 架子鼓。本次回收：0。，总投入：1818，总回收：595，实际收益：-1294，开关=2
****************************************
模拟下注：吉他,10 | 贝斯,10 | 下注结果：【命中】。2022-12-15 12:50:22 吉他。本次回收：50。总投入：1838，总回收：645，实际收益：-1281，开关=1
****************************************
模拟下注：钢琴,1 | 贝斯,1 | 下注结果：【命中】。2022-12-15 12:51:20 贝斯。本次回收：5。总投入：1840，总回收：650，实际收益：-1280，开关=1
****************************************
模拟下注：贝斯,1 | 吉他,1 | 下注结果：【命中】。2022-12-15 12:58:06 贝斯。本次回收：5。总投入：1842，总回收：655，实际收益：-1278，开关=1
****************************************
模拟下注：贝斯,1 | 钢琴,1 | 下注结果：【命中】。2022-12-15 13:13:34 钢琴。本次回收：5。总投入：1844，总回收：660，实际收益：-1277，开关=1
****************************************
模拟下注：贝斯,1 | 钢琴,1 | 下注结果：【未命中】。2022-12-15 13:14:32 圆号。本次回收：0。，总投入：1846，总回收：660，实际收益：-1279，开关=1
****************************************
模拟下注：贝斯,10 | 钢琴,10 | 下注结果：【未命中】。2022-12-15 13:18:24 吉他。本次回收：0。，总投入：1866，总回收：660，实际收益：-1297，开关=1
****************************************
模拟下注：小提琴,100 | 吉他,100 | 下注结果：【未命中】。2022-12-15 13:21:18 架子鼓。本次回收：0。，总投入：2066，总回收：660，实际收益：-1481，开关=1
****************************************
模拟下注：吉他,0 | 钢琴,0 | 下注结果：【未命中】。2022-12-15 13:22:16 贝斯。本次回收：0。，总投入：2066，总回收：660，实际收益：-1481，开关=2
****************************************
模拟下注：小提琴,0 | 贝斯,0 | 下注结果：【未命中】。2022-12-15 13:30:00 架子鼓。本次回收：0。，总投入：2066，总回收：660，实际收益：-1481，开关=2
****************************************
模拟下注：小提琴,0 | 贝斯,0 | 下注结果：【未命中】。2022-12-15 13:32:54 钢琴。本次回收：0。，总投入：2066，总回收：660，实际收益：-1481，开关=1
****************************************
模拟下注：小提琴,0 | 贝斯,0 | 下注结果：【未命中】。2022-12-15 13:34:50 竖琴。本次回收：0。，总投入：2066，总回收：660，实际收益：-1481，开关=1
****************************************
模拟下注：贝斯,0 | 吉他,0 | 下注结果：【命中】。2022-12-15 13:36:46 吉他。本次回收：0。总投入：2066，总回收：660，实际收益：-1481，开关=1
****************************************
模拟下注：小提琴,0 | 吉他,0 | 下注结果：【命中】。2022-12-15 13:37:44 小提琴。本次回收：0。总投入：2066，总回收：660，实际收益：-1481，开关=2
****************************************
模拟下注：吉他,1 | 贝斯,1 | 下注结果：【未命中】。2022-12-15 13:44:30 钢琴。本次回收：0。，总投入：2068，总回收：660，实际收益：-1483，开关=1
****************************************
模拟下注：小提琴,10 | 钢琴,10 | 下注结果：【未命中】。2022-12-15 13:49:20 贝斯。本次回收：0。，总投入：2088，总回收：660，实际收益：-1501，开关=2
****************************************
模拟下注：吉他,100 | 贝斯,100 | 下注结果：【未命中】。2022-12-15 13:50:18 架子鼓。本次回收：0。，总投入：2288，总回收：660，实际收益：-1685，开关=1
****************************************
模拟下注：贝斯,0 | 钢琴,0 | 下注结果：【命中】。2022-12-15 14:01:54 钢琴。本次回收：0。总投入：2288，总回收：660，实际收益：-1685，开关=1
****************************************
模拟下注：吉他,0 | 小提琴,0 | 下注结果：【未命中】。2022-12-15 14:02:52 钢琴。本次回收：0。，总投入：2288，总回收：660，实际收益：-1685，开关=2
****************************************
模拟下注：小提琴,0 | 钢琴,0 | 下注结果：【命中】。2022-12-15 14:03:50 小提琴。本次回收：0。总投入：2288，总回收：660，实际收益：-1685，开关=1
****************************************
模拟下注：吉他,0 | 贝斯,0 | 下注结果：【命中】。2022-12-15 14:19:18 吉他。本次回收：0。总投入：2288，总回收：660，实际收益：-1685，开关=1
****************************************
模拟下注：吉他,1 | 钢琴,1 | 下注结果：【未命中】。2022-12-15 14:20:16 贝斯。本次回收：0。，总投入：2290，总回收：660，实际收益：-1687，开关=1
****************************************
模拟下注：吉他,10 | 贝斯,10 | 下注结果：【命中】。2022-12-15 14:28:00 贝斯。本次回收：50。总投入：2310，总回收：710，实际收益：-1674，开关=1
****************************************
模拟下注：吉他,1 | 贝斯,1 | 下注结果：【命中】。2022-12-15 14:28:58 贝斯。本次回收：5。总投入：2312，总回收：715，实际收益：-1673，开关=1
****************************************
模拟下注：吉他,1 | 贝斯,1 | 下注结果：【命中】。2022-12-15 14:29:56 贝斯。本次回收：5。总投入：2314，总回收：720，实际收益：-1671，开关=1
****************************************
模拟下注：吉他,1 | 贝斯,1 | 下注结果：【未命中】。2022-12-15 14:30:54 架子鼓。本次回收：0。，总投入：2316，总回收：720，实际收益：-1673，开关=1
****************************************
模拟下注：贝斯,10 | 吉他,10 | 下注结果：【未命中】。2022-12-15 14:51:12 萨克斯风。本次回收：0。，总投入：2336，总回收：720，实际收益：-1691，开关=1
****************************************
模拟下注：小提琴,100 | 钢琴,100 | 下注结果：【未命中】。2022-12-15 15:26:00 架子鼓。本次回收：0。，总投入：2536，总回收：720，实际收益：-1875，开关=1
****************************************
模拟下注：贝斯,0 | 小提琴,0 | 下注结果：【命中】。2022-12-15 15:31:48 贝斯。本次回收：0。总投入：2536，总回收：720，实际收益：-1875，开关=1
****************************************
模拟下注：吉他,0 | 钢琴,0 | 下注结果：【未命中】。2022-12-15 15:32:46 小提琴。本次回收：0。，总投入：2536，总回收：720，实际收益：-1875，开关=2
****************************************
模拟下注：贝斯,0 | 钢琴,0 | 下注结果：【未命中】。2022-12-15 15:39:32 萨克斯风。本次回收：0。，总投入：2536，总回收：720，实际收益：-1875，开关=1
****************************************
模拟下注：小提琴,0 | 贝斯,0 | 下注结果：【命中】。2022-12-15 15:51:08 小提琴。本次回收：0。总投入：2536，总回收：720，实际收益：-1875，开关=1
****************************************
模拟下注：贝斯,0 | 小提琴,0 | 下注结果：【未命中】。2022-12-15 16:14:20 钢琴。本次回收：0。，总投入：2536，总回收：720，实际收益：-1875，开关=1
****************************************
模拟下注：吉他,0 | 小提琴,0 | 下注结果：【未命中】。2022-12-15 16:18:12 竖琴。本次回收：0。，总投入：2536，总回收：720，实际收益：-1875，开关=1
****************************************
模拟下注：吉他,0 | 小提琴,0 | 下注结果：【命中】。2022-12-15 16:22:04 吉他。本次回收：0。总投入：2536，总回收：720，实际收益：-1875，开关=1
****************************************
模拟下注：贝斯,0 | 钢琴,0 | 下注结果：【未命中】。2022-12-15 16:23:02 架子鼓。本次回收：0。，总投入：2536，总回收：720，实际收益：-1875，开关=2
****************************************
模拟下注：吉他,0 | 小提琴,0 | 下注结果：【未命中】。2022-12-15 16:26:54 贝斯。本次回收：0。，总投入：2536，总回收：720，实际收益：-1875，开关=2
****************************************
模拟下注：小提琴,0 | 贝斯,0 | 下注结果：【未命中】。2022-12-15 16:27:52 钢琴。本次回收：0。，总投入：2536，总回收：720，实际收益：-1875，开关=1
****************************************
模拟下注：小提琴,0 | 钢琴,0 | 下注结果：【未命中】。2022-12-15 16:35:36 贝斯。本次回收：0。，总投入：2536，总回收：720，实际收益：-1875，开关=1
****************************************
模拟下注：小提琴,0 | 贝斯,0 | 下注结果：【未命中】。2022-12-15 16:38:30 吉他。本次回收：0。，总投入：2536，总回收：720，实际收益：-1875，开关=2
****************************************
模拟下注：小提琴,0 | 钢琴,0 | 下注结果：【命中】。2022-12-15 16:39:28 小提琴。本次回收：0。总投入：2536，总回收：720，实际收益：-1875，开关=1
****************************************
模拟下注：贝斯,0 | 吉他,0 | 下注结果：【未命中】。2022-12-15 16:40:26 萨克斯风。本次回收：0。，总投入：2536，总回收：720，实际收益：-1875，开关=2
****************************************
模拟下注：钢琴,0 | 吉他,0 | 下注结果：【未命中】。2022-12-15 16:41:24 萨克斯风。本次回收：0。，总投入：2536，总回收：720，实际收益：-1875，开关=1
****************************************
模拟下注：小提琴,0 | 贝斯,0 | 下注结果：【未命中】。2022-12-15 16:43:20 圆号。本次回收：0。，总投入：2536，总回收：720，实际收益：-1875，开关=1
****************************************
模拟下注：贝斯,0 | 吉他,0 | 下注结果：【命中】。2022-12-15 16:57:50 吉他。本次回收：0。总投入：2536，总回收：720，实际收益：-1875，开关=2
****************************************
模拟下注：小提琴,0 | 贝斯,0 | 下注结果：【未命中】。2022-12-15 17:05:34 竖琴。本次回收：0。，总投入：2536，总回收：720，实际收益：-1875，开关=2
****************************************
模拟下注：贝斯,0 | 吉他,0 | 下注结果：【未命中】。2022-12-15 17:09:26 架子鼓。本次回收：0。，总投入：2536，总回收：720，实际收益：-1875，开关=2
****************************************
模拟下注：小提琴,0 | 贝斯,0 | 下注结果：【命中】。2022-12-15 17:12:20 贝斯。本次回收：0。总投入：2536，总回收：720，实际收益：-1875，开关=1
****************************************
模拟下注：小提琴,0 | 吉他,0 | 下注结果：【未命中】。2022-12-15 17:14:16 萨克斯风。本次回收：0。，总投入：2536，总回收：720，实际收益：-1875，开关=1
****************************************
模拟下注：贝斯,0 | 小提琴,0 | 下注结果：【命中】。2022-12-15 17:16:12 小提琴。本次回收：0。总投入：2536，总回收：720，实际收益：-1875，开关=1
****************************************
模拟下注：吉他,0 | 小提琴,0 | 下注结果：【未命中】。2022-12-15 17:17:10 圆号。本次回收：0。，总投入：2536，总回收：720，实际收益：-1875，开关=2
****************************************
模拟下注：贝斯,0 | 吉他,0 | 下注结果：【未命中】。2022-12-15 17:19:06 钢琴。本次回收：0。，总投入：2536，总回收：720，实际收益：-1875，开关=2
****************************************
模拟下注：钢琴,0 | 小提琴,0 | 下注结果：【未命中】。2022-12-15 17:20:04 贝斯。本次回收：0。，总投入：2536，总回收：720，实际收益：-1875，开关=1
****************************************
模拟下注：钢琴,0 | 小提琴,0 | 下注结果：【未命中】。2022-12-15 17:22:58 萨克斯风。本次回收：0。，总投入：2536，总回收：720，实际收益：-1875，开关=2
****************************************
模拟下注：吉他,0 | 小提琴,0 | 下注结果：【命中】。2022-12-15 17:32:38 小提琴。本次回收：0。总投入：2536，总回收：720，实际收益：-1875，开关=2
****************************************
模拟下注：吉他,0 | 小提琴,0 | 下注结果：【命中】。2022-12-15 17:35:32 小提琴。本次回收：0。总投入：2536，总回收：720，实际收益：-1875，开关=1
****************************************
模拟下注：钢琴,1 | 贝斯,1 | 下注结果：【未命中】。2022-12-15 17:36:30 架子鼓。本次回收：0。，总投入：2538，总回收：720，实际收益：-1877，开关=2
****************************************
模拟下注：吉他,10 | 小提琴,10 | 下注结果：【命中】。2022-12-15 17:38:26 小提琴。本次回收：50。总投入：2558，总回收：770，实际收益：-1864，开关=2
****************************************
模拟下注：钢琴,1 | 贝斯,1 | 下注结果：【未命中】。2022-12-15 17:42:18 小提琴。本次回收：0。，总投入：2560，总回收：770，实际收益：-1866，开关=2
****************************************
模拟下注：钢琴,10 | 贝斯,10 | 下注结果：【未命中】。2022-12-15 17:43:16 萨克斯风。本次回收：0。，总投入：2580，总回收：770，实际收益：-1884，开关=2
****************************************
模拟下注：钢琴,100 | 贝斯,100 | 下注结果：【未命中】。2022-12-15 17:45:12 吉他。本次回收：0。，总投入：2780，总回收：770，实际收益：-2068，开关=2
****************************************
模拟下注：吉他,0 | 小提琴,0 | 下注结果：【命中】。2022-12-15 17:46:10 小提琴。本次回收：0。总投入：2780，总回收：770，实际收益：-2068，开关=1
****************************************
模拟下注：钢琴,0 | 贝斯,0 | 下注结果：【命中】。2022-12-15 17:47:08 贝斯。本次回收：0。总投入：2780，总回收：770，实际收益：-2068，开关=2
****************************************
模拟下注：钢琴,1 | 吉他,1 | 下注结果：【命中】。2022-12-15 18:02:36 吉他。本次回收：5。总投入：2782，总回收：775，实际收益：-2067，开关=2
****************************************
模拟下注：钢琴,1 | 小提琴,1 | 下注结果：【未命中】。2022-12-15 18:06:28 竖琴。本次回收：0。，总投入：2784，总回收：775，实际收益：-2069，开关=2
****************************************
模拟下注：钢琴,10 | 小提琴,10 | 下注结果：【未命中】。2022-12-15 18:14:12 吉他。本次回收：0。，总投入：2804，总回收：775，实际收益：-2087，开关=2
****************************************
模拟下注：钢琴,100 | 吉他,100 | 下注结果：【命中】。2022-12-15 18:17:06 钢琴。本次回收：500。总投入：3004，总回收：1275，实际收益：-1954，开关=2
****************************************
模拟下注：钢琴,0 | 小提琴,0 | 下注结果：【未命中】。2022-12-15 18:21:56 贝斯。本次回收：0。，总投入：3004，总回收：1275，实际收益：-1954，开关=2
****************************************
模拟下注：吉他,0 | 钢琴,0 | 下注结果：【未命中】。2022-12-15 18:23:52 小提琴。本次回收：0。，总投入：3004，总回收：1275，实际收益：-1954，开关=2
****************************************
模拟下注：吉他,0 | 小提琴,0 | 下注结果：【未命中】。2022-12-15 18:37:24 竖琴。本次回收：0。，总投入：3004，总回收：1275，实际收益：-1954，开关=2
****************************************
模拟下注：钢琴,0 | 吉他,0 | 下注结果：【未命中】。2022-12-15 18:41:16 小提琴。本次回收：0。，总投入：3004，总回收：1275，实际收益：-1954，开关=2
****************************************
模拟下注：小提琴,0 | 贝斯,0 | 下注结果：【未命中】。2022-12-15 18:44:10 竖琴。本次回收：0。，总投入：3004，总回收：1275，实际收益：-1954，开关=1
****************************************
模拟下注：钢琴,0 | 吉他,0 | 下注结果：【命中】。2022-12-15 18:49:58 钢琴。本次回收：0。总投入：3004，总回收：1275，实际收益：-1954，开关=1
****************************************
模拟下注：小提琴,0 | 贝斯,0 | 下注结果：【未命中】。2022-12-15 18:50:56 钢琴。本次回收：0。，总投入：3004，总回收：1275，实际收益：-1954，开关=2
****************************************
模拟下注：贝斯,0 | 吉他,0 | 下注结果：【命中】。2022-12-15 19:01:34 吉他。本次回收：0。总投入：3004，总回收：1275，实际收益：-1954，开关=1
****************************************
模拟下注：吉他,0 | 钢琴,0 | 下注结果：【未命中】。2022-12-15 19:04:28 萨克斯风。本次回收：0。，总投入：3004，总回收：1275，实际收益：-1954，开关=2
****************************************
模拟下注：小提琴,0 | 贝斯,0 | 下注结果：【未命中】。2022-12-15 19:06:24 钢琴。本次回收：0。，总投入：3004，总回收：1275，实际收益：-1954，开关=2
****************************************
模拟下注：吉他,0 | 钢琴,0 | 下注结果：【命中】。2022-12-15 19:07:22 吉他。本次回收：0。总投入：3004，总回收：1275，实际收益：-1954，开关=1
****************************************
模拟下注：吉他,0 | 贝斯,0 | 下注结果：【未命中】。2022-12-15 19:12:12 架子鼓。本次回收：0。，总投入：3004，总回收：1275，实际收益：-1954，开关=2
****************************************
模拟下注：小提琴,0 | 钢琴,0 | 下注结果：【未命中】。2022-12-15 19:13:10 竖琴。本次回收：0。，总投入：3004，总回收：1275，实际收益：-1954，开关=1
****************************************
模拟下注：吉他,0 | 钢琴,0 | 下注结果：【未命中】。2022-12-15 19:23:48 小提琴。本次回收：0。，总投入：3004，总回收：1275，实际收益：-1954，开关=2
****************************************
模拟下注：小提琴,0 | 贝斯,0 | 下注结果：【命中】。2022-12-15 19:24:46 小提琴。本次回收：0。总投入：3004，总回收：1275，实际收益：-1954，开关=1
****************************************
模拟下注：小提琴,0 | 钢琴,0 | 下注结果：【未命中】。2022-12-15 19:25:44 萨克斯风。本次回收：0。，总投入：3004，总回收：1275，实际收益：-1954，开关=2
****************************************
模拟下注：小提琴,0 | 钢琴,0 | 下注结果：【命中】。2022-12-15 19:36:22 小提琴。本次回收：0。总投入：3004，总回收：1275，实际收益：-1954，开关=1
****************************************
模拟下注：贝斯,0 | 吉他,0 | 下注结果：【未命中】。2022-12-15 19:37:20 架子鼓。本次回收：0。，总投入：3004，总回收：1275，实际收益：-1954，开关=2
****************************************
模拟下注：贝斯,0 | 钢琴,0 | 下注结果：【命中】。2022-12-15 19:42:10 钢琴。本次回收：0。总投入：3004，总回收：1275，实际收益：-1954，开关=1
****************************************
模拟下注：贝斯,0 | 吉他,0 | 下注结果：【未命中】。2022-12-15 19:46:02 竖琴。本次回收：0。，总投入：3004，总回收：1275，实际收益：-1954，开关=1
****************************************
模拟下注：吉他,0 | 小提琴,0 | 下注结果：【命中】。2022-12-15 19:51:50 吉他。本次回收：0。总投入：3004，总回收：1275，实际收益：-1954，开关=1
****************************************
模拟下注：小提琴,0 | 贝斯,0 | 下注结果：【未命中】。2022-12-15 19:52:48 钢琴。本次回收：0。，总投入：3004，总回收：1275，实际收益：-1954，开关=1
****************************************
模拟下注：吉他,0 | 钢琴,0 | 下注结果：【未命中】。2022-12-15 19:56:40 贝斯。本次回收：0。，总投入：3004，总回收：1275，实际收益：-1954，开关=1
****************************************
模拟下注：小提琴,0 | 钢琴,0 | 下注结果：【命中】。2022-12-15 19:59:34 小提琴。本次回收：0。总投入：3004，总回收：1275，实际收益：-1954，开关=2
****************************************
模拟下注：吉他,0 | 小提琴,0 | 下注结果：【未命中】。2022-12-15 20:06:20 钢琴。本次回收：0。，总投入：3004，总回收：1275，实际收益：-1954，开关=1
****************************************
模拟下注：吉他,0 | 小提琴,0 | 下注结果：【命中】。2022-12-15 20:09:14 吉他。本次回收：0。总投入：3004，总回收：1275，实际收益：-1954，开关=2
****************************************
模拟下注：吉他,0 | 贝斯,0 | 下注结果：【未命中】。2022-12-15 20:18:54 萨克斯风。本次回收：0。，总投入：3004，总回收：1275，实际收益：-1954，开关=2
****************************************
模拟下注：小提琴,0 | 钢琴,0 | 下注结果：【未命中】。2022-12-15 20:22:46 贝斯。本次回收：0。，总投入：3004，总回收：1275，实际收益：-1954，开关=2
****************************************
模拟下注：贝斯,0 | 吉他,0 | 下注结果：【未命中】。2022-12-15 20:23:44 萨克斯风。本次回收：0。，总投入：3004，总回收：1275，实际收益：-1954，开关=1
****************************************
模拟下注：小提琴,0 | 钢琴,0 | 下注结果：【未命中】。2022-12-15 20:25:40 架子鼓。本次回收：0。，总投入：3004，总回收：1275，实际收益：-1954，开关=1
****************************************
模拟下注：钢琴,0 | 小提琴,0 | 下注结果：【未命中】。2022-12-15 20:29:32 贝斯。本次回收：0。，总投入：3004，总回收：1275，实际收益：-1954，开关=1
****************************************
模拟下注：吉他,0 | 钢琴,0 | 下注结果：【未命中】。2022-12-15 20:34:22 贝斯。本次回收：0。，总投入：3004，总回收：1275，实际收益：-1954，开关=2
****************************************
模拟下注：小提琴,0 | 贝斯,0 | 下注结果：【未命中】。2022-12-15 20:38:14 萨克斯风。本次回收：0。，总投入：3004，总回收：1275，实际收益：-1954，开关=2
****************************************
模拟下注：钢琴,0 | 吉他,0 | 下注结果：【未命中】。2022-12-15 20:40:10 小提琴。本次回收：0。，总投入：3004，总回收：1275，实际收益：-1954，开关=2
****************************************
模拟下注：吉他,0 | 贝斯,0 | 下注结果：【命中】。2022-12-15 20:48:52 贝斯。本次回收：0。总投入：3004，总回收：1275，实际收益：-1954，开关=1
****************************************
模拟下注：小提琴,0 | 贝斯,0 | 下注结果：【未命中】。2022-12-15 21:09:10 吉他。本次回收：0。，总投入：3004，总回收：1275，实际收益：-1954，开关=2
****************************************
模拟下注：钢琴,0 | 吉他,0 | 下注结果：【命中】。2022-12-15 21:10:08 吉他。本次回收：0。总投入：3004，总回收：1275，实际收益：-1954，开关=1
****************************************
模拟下注：贝斯,0 | 钢琴,0 | 下注结果：【未命中】。2022-12-15 21:16:54 竖琴。本次回收：0。，总投入：3004，总回收：1275，实际收益：-1954，开关=2
****************************************
模拟下注：小提琴,0 | 吉他,0 | 下注结果：【命中】。2022-12-15 21:18:50 小提琴。本次回收：0。总投入：3004，总回收：1275，实际收益：-1954，开关=2
****************************************
模拟下注：钢琴,0 | 贝斯,0 | 下注结果：【命中】。2022-12-15 21:22:42 贝斯。本次回收：0。总投入：3004，总回收：1275，实际收益：-1954，开关=2
****************************************
模拟下注：钢琴,1 | 吉他,1 | 下注结果：【未命中】。2022-12-15 21:39:08 小提琴。本次回收：0。，总投入：3006，总回收：1275，实际收益：-1955，开关=2
****************************************
模拟下注：钢琴,10 | 小提琴,10 | 下注结果：【命中】。2022-12-15 21:40:06 小提琴。本次回收：50。总投入：3026，总回收：1325，实际收益：-1942，开关=2
****************************************
模拟下注：吉他,1 | 贝斯,1 | 下注结果：【未命中】。2022-12-15 21:42:02 钢琴。本次回收：0。，总投入：3028，总回收：1325，实际收益：-1944，开关=2
****************************************
模拟下注：贝斯,10 | 吉他,10 | 下注结果：【命中】。2022-12-15 21:43:58 贝斯。本次回收：50。总投入：3048，总回收：1375，实际收益：-1931，开关=2
****************************************
模拟下注：钢琴,1 | 小提琴,1 | 下注结果：【未命中】。2022-12-15 21:50:44 萨克斯风。本次回收：0。，总投入：3050，总回收：1375，实际收益：-1932，开关=2
****************************************
模拟下注：吉他,10 | 贝斯,10 | 下注结果：【未命中】。2022-12-15 21:56:32 架子鼓。本次回收：0。，总投入：3070，总回收：1375，实际收益：-1951，开关=2
****************************************
模拟下注：吉他,100 | 贝斯,100 | 下注结果：【未命中】。2022-12-15 22:00:24 小提琴。本次回收：0。，总投入：3270，总回收：1375，实际收益：-2135，开关=2
****************************************
模拟下注：钢琴,0 | 小提琴,0 | 下注结果：【未命中】。2022-12-15 22:01:22 贝斯。本次回收：0。，总投入：3270，总回收：1375，实际收益：-2135，开关=1
****************************************
模拟下注：贝斯,0 | 小提琴,0 | 下注结果：【未命中】。2022-12-15 22:06:12 钢琴。本次回收：0。，总投入：3270，总回收：1375，实际收益：-2135，开关=2
****************************************
模拟下注：吉他,0 | 钢琴,0 | 下注结果：【命中】。2022-12-15 22:12:58 钢琴。本次回收：0。总投入：3270，总回收：1375，实际收益：-2135，开关=1
****************************************
模拟下注：吉他,0 | 钢琴,0 | 下注结果：【未命中】。2022-12-15 22:15:52 萨克斯风。本次回收：0。，总投入：3270，总回收：1375，实际收益：-2135，开关=2
****************************************
模拟下注：吉他,0 | 小提琴,0 | 下注结果：【命中】。2022-12-15 22:25:32 吉他。本次回收：0。总投入：3270，总回收：1375，实际收益：-2135，开关=2
****************************************
模拟下注：钢琴,0 | 贝斯,0 | 下注结果：【命中】。2022-12-15 22:37:08 钢琴。本次回收：0。总投入：3270，总回收：1375，实际收益：-2135，开关=2
****************************************
