同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-20 16:41:08 吉他。本次回收：0。总投入：0。总回收：0。总收益：0。
同意买入。买入操作配置【开启】。买入计量为20。模拟买入：贝斯,10 | 吉他,10 | 买入结果：【命中】。2022-12-21 02:25:00 吉他。本次回收：50。总投入：266。总回收：600。总收益：136。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：贝斯,1 | 钢琴,1 | 买入结果：【命中】。2022-12-21 02:25:58 钢琴。本次回收：5。总投入：268。总回收：605。总收益：137。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：贝斯,1 | 吉他,1 | 买入结果：【未命中】。2022-12-21 02:26:56 钢琴。本次回收：0。总投入：270。总回收：605。总收益：135。
同意买入。买入操作配置【开启】。买入计量为20。模拟买入：吉他,10 | 钢琴,10 | 买入结果：【未命中】。2022-12-21 02:36:36 萨克斯风。本次回收：0。总投入：290。总回收：605。总收益：117。
同意买入。买入操作配置【开启】。买入计量为200。模拟买入：贝斯,100 | 小提琴,100 | 买入结果：【未命中】。2022-12-21 02:40:28 圆号。本次回收：0。总投入：490。总回收：605。总收益：-66。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：贝斯,1 | 小提琴,1 | 买入结果：【命中】。2022-12-21 02:41:26 小提琴。本次回收：5。总投入：492。总回收：610。总收益：-65。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-21 02:49:10 架子鼓。本次回收：0。总投入：492。总回收：610。总收益：-65。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 贝斯,0 | 买入结果：【命中】。2022-12-21 02:58:50 钢琴。本次回收：0。总投入：492。总回收：610。总收益：-65。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-21 02:59:48 吉他。本次回收：0。总投入：492。总回收：610。总收益：-65。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-21 03:00:46 钢琴。本次回收：0。总投入：492。总回收：610。总收益：-65。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 小提琴,0 | 买入结果：【命中】。2022-12-21 03:03:40 吉他。本次回收：0。总投入：492。总回收：610。总收益：-65。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-21 03:04:38 贝斯。本次回收：0。总投入：492。总回收：610。总收益：-65。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-21 03:17:12 钢琴。本次回收：0。总投入：492。总回收：610。总收益：-65。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 吉他,0 | 买入结果：【命中】。2022-12-21 03:21:04 吉他。本次回收：0。总投入：492。总回收：610。总收益：-65。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-21 03:22:02 吉他。本次回收：0。总投入：492。总回收：610。总收益：-65。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 吉他,0 | 买入结果：【命中】。2022-12-21 03:25:54 吉他。本次回收：0。总投入：492。总回收：610。总收益：-65。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 钢琴,0 | 买入结果：【命中】。2022-12-21 03:26:52 钢琴。本次回收：0。总投入：492。总回收：610。总收益：-65。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：贝斯,1 | 吉他,1 | 买入结果：【未命中】。2022-12-21 03:27:50 小提琴。本次回收：0。总投入：494。总回收：610。总收益：-67。
同意买入。买入操作配置【开启】。买入计量为20。模拟买入：贝斯,10 | 吉他,10 | 买入结果：【未命中】。2022-12-21 03:30:44 架子鼓。本次回收：0。总投入：514。总回收：610。总收益：-85。
同意买入。买入操作配置【开启】。买入计量为200。模拟买入：贝斯,100 | 吉他,100 | 买入结果：【未命中】。2022-12-21 03:38:28 小提琴。本次回收：0。总投入：714。总回收：610。总收益：-269。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：小提琴,1 | 吉他,1 | 买入结果：【未命中】。2022-12-21 03:46:12 钢琴。本次回收：0。总投入：716。总回收：610。总收益：-271。
同意买入。买入操作配置【开启】。买入计量为20。模拟买入：钢琴,10 | 吉他,10 | 买入结果：【未命中】。2022-12-21 03:52:00 架子鼓。本次回收：0。总投入：736。总回收：610。总收益：-289。
同意买入。买入操作配置【开启】。买入计量为200。模拟买入：贝斯,100 | 吉他,100 | 买入结果：【命中】。2022-12-21 03:53:56 贝斯。本次回收：500。总投入：936。总回收：1110。总收益：-156。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 吉他,0 | 买入结果：【命中】。2022-12-21 03:54:54 吉他。本次回收：0。总投入：936。总回收：1110。总收益：-156。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 吉他,0 | 买入结果：【命中】。2022-12-21 03:55:52 贝斯。本次回收：0。总投入：936。总回收：1110。总收益：-156。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：吉他,1 | 贝斯,1 | 买入结果：【未命中】。2022-12-21 03:56:50 钢琴。本次回收：0。总投入：938。总回收：1110。总收益：-158。
同意买入。买入操作配置【开启】。买入计量为20。模拟买入：吉他,10 | 钢琴,10 | 买入结果：【命中】。2022-12-21 03:57:48 钢琴。本次回收：50。总投入：958。总回收：1160。总收益：-144。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：小提琴,1 | 吉他,1 | 买入结果：【未命中】。2022-12-21 03:58:46 钢琴。本次回收：0。总投入：960。总回收：1160。总收益：-146。
同意买入。买入操作配置【开启】。买入计量为20。模拟买入：吉他,10 | 钢琴,10 | 买入结果：【命中】。2022-12-21 04:01:40 钢琴。本次回收：50。总投入：980。总回收：1210。总收益：-133。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：吉他,1 | 贝斯,1 | 买入结果：【未命中】。2022-12-21 04:02:38 钢琴。本次回收：0。总投入：982。总回收：1210。总收益：-135。
同意买入。买入操作配置【开启】。买入计量为20。模拟买入：贝斯,10 | 钢琴,10 | 买入结果：【命中】。2022-12-21 04:09:24 钢琴。本次回收：50。总投入：1002。总回收：1260。总收益：-121。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：吉他,1 | 贝斯,1 | 买入结果：【未命中】。2022-12-21 04:10:22 小提琴。本次回收：0。总投入：1004。总回收：1260。总收益：-123。
同意买入。买入操作配置【开启】。买入计量为20。模拟买入：钢琴,10 | 小提琴,10 | 买入结果：【未命中】。2022-12-21 04:23:54 竖琴。本次回收：0。总投入：1024。总回收：1260。总收益：-141。
同意买入。买入操作配置【开启】。买入计量为200。模拟买入：小提琴,100 | 钢琴,100 | 买入结果：【未命中】。2022-12-21 04:41:18 吉他。本次回收：0。总投入：1224。总回收：1260。总收益：-325。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：小提琴,1 | 吉他,1 | 买入结果：【命中】。2022-12-21 04:44:12 吉他。本次回收：5。总投入：1226。总回收：1265。总收益：-324。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 吉他,0 | 买入结果：【未命中】。2022-12-21 04:48:04 架子鼓。本次回收：0。总投入：1226。总回收：1265。总收益：-324。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 贝斯,0 | 买入结果：【未命中】。2022-12-21 04:50:58 吉他。本次回收：0。总投入：1226。总回收：1265。总收益：-324。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 贝斯,0 | 买入结果：【未命中】。2022-12-21 05:00:38 钢琴。本次回收：0。总投入：1226。总回收：1265。总收益：-324。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 贝斯,0 | 买入结果：【命中】。2022-12-21 05:04:30 贝斯。本次回收：0。总投入：1226。总回收：1265。总收益：-324。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 贝斯,0 | 买入结果：【命中】。2022-12-21 05:08:22 贝斯。本次回收：0。总投入：1226。总回收：1265。总收益：-324。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 贝斯,0 | 买入结果：【未命中】。2022-12-21 05:14:10 吉他。本次回收：0。总投入：1226。总回收：1265。总收益：-324。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 吉他,0 | 买入结果：【命中】。2022-12-21 05:29:38 贝斯。本次回收：0。总投入：1226。总回收：1265。总收益：-324。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：小提琴,1 | 吉他,1 | 买入结果：【未命中】。2022-12-21 05:30:36 架子鼓。本次回收：0。总投入：1228。总回收：1265。总收益：-326。
同意买入。买入操作配置【开启】。买入计量为20。模拟买入：贝斯,10 | 钢琴,10 | 买入结果：【未命中】。2022-12-21 05:31:34 小提琴。本次回收：0。总投入：1248。总回收：1265。总收益：-344。
同意买入。买入操作配置【开启】。买入计量为200。模拟买入：贝斯,100 | 吉他,100 | 买入结果：【命中】。2022-12-21 05:32:32 吉他。本次回收：500。总投入：1448。总回收：1765。总收益：-211。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-21 05:33:30 架子鼓。本次回收：0。总投入：1448。总回收：1765。总收益：-211。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-21 05:35:26 小提琴。本次回收：0。总投入：1448。总回收：1765。总收益：-211。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 吉他,0 | 买入结果：【命中】。2022-12-21 05:37:22 贝斯。本次回收：0。总投入：1448。总回收：1765。总收益：-211。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 吉他,0 | 买入结果：【命中】。2022-12-21 05:38:20 吉他。本次回收：0。总投入：1448。总回收：1765。总收益：-211。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：贝斯,1 | 钢琴,1 | 买入结果：【命中】。2022-12-21 05:39:18 贝斯。本次回收：5。总投入：1450。总回收：1770。总收益：-210。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：钢琴,1 | 吉他,1 | 买入结果：【未命中】。2022-12-21 05:40:16 贝斯。本次回收：0。总投入：1452。总回收：1770。总收益：-211。
同意买入。买入操作配置【开启】。买入计量为20。模拟买入：贝斯,10 | 钢琴,10 | 买入结果：【未命中】。2022-12-21 05:48:00 小提琴。本次回收：0。总投入：1472。总回收：1770。总收益：-230。
同意买入。买入操作配置【开启】。买入计量为200。模拟买入：贝斯,100 | 钢琴,100 | 买入结果：【命中】。2022-12-21 05:52:50 贝斯。本次回收：500。总投入：1672。总回收：2270。总收益：-96。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 贝斯,0 | 买入结果：【未命中】。2022-12-21 05:57:40 吉他。本次回收：0。总投入：1672。总回收：2270。总收益：-96。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 贝斯,0 | 买入结果：【未命中】。2022-12-21 06:02:30 竖琴。本次回收：0。总投入：1672。总回收：2270。总收益：-96。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 贝斯,0 | 买入结果：【未命中】。2022-12-21 06:07:20 小提琴。本次回收：0。总投入：1672。总回收：2270。总收益：-96。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 贝斯,0 | 买入结果：【未命中】。2022-12-21 06:10:14 吉他。本次回收：0。总投入：1672。总回收：2270。总收益：-96。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 吉他,0 | 买入结果：【命中】。2022-12-21 06:12:10 吉他。本次回收：0。总投入：1672。总回收：2270。总收益：-96。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-21 06:13:08 贝斯。本次回收：0。总投入：1672。总回收：2270。总收益：-96。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 贝斯,0 | 买入结果：【未命中】。2022-12-21 06:17:58 吉他。本次回收：0。总投入：1672。总回收：2270。总收益：-96。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 钢琴,0 | 买入结果：【命中】。2022-12-21 06:20:52 钢琴。本次回收：0。总投入：1672。总回收：2270。总收益：-96。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 贝斯,0 | 买入结果：【未命中】。2022-12-21 06:21:50 竖琴。本次回收：0。总投入：1672。总回收：2270。总收益：-96。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 钢琴,0 | 买入结果：【命中】。2022-12-21 06:24:44 小提琴。本次回收：0。总投入：1672。总回收：2270。总收益：-96。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 贝斯,0 | 买入结果：【命中】。2022-12-21 06:25:42 贝斯。本次回收：0。总投入：1672。总回收：2270。总收益：-96。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：钢琴,1 | 小提琴,1 | 买入结果：【命中】。2022-12-21 06:26:40 小提琴。本次回收：5。总投入：1674。总回收：2275。总收益：-95。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：钢琴,1 | 贝斯,1 | 买入结果：【未命中】。2022-12-21 06:27:38 圆号。本次回收：0。总投入：1676。总回收：2275。总收益：-97。
同意买入。买入操作配置【开启】。买入计量为20。模拟买入：小提琴,10 | 吉他,10 | 买入结果：【命中】。2022-12-21 06:35:22 吉他。本次回收：50。总投入：1696。总回收：2325。总收益：-83。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：小提琴,1 | 吉他,1 | 买入结果：【命中】。2022-12-21 06:38:16 吉他。本次回收：5。总投入：1698。总回收：2330。总收益：-82。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：小提琴,1 | 贝斯,1 | 买入结果：【未命中】。2022-12-21 06:39:14 吉他。本次回收：0。总投入：1700。总回收：2330。总收益：-84。
同意买入。买入操作配置【开启】。买入计量为20。模拟买入：钢琴,10 | 吉他,10 | 买入结果：【未命中】。2022-12-21 06:43:06 贝斯。本次回收：0。总投入：1720。总回收：2330。总收益：-102。
同意买入。买入操作配置【开启】。买入计量为200。模拟买入：小提琴,100 | 吉他,100 | 买入结果：【未命中】。2022-12-21 06:51:48 竖琴。本次回收：0。总投入：1920。总回收：2330。总收益：-286。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：小提琴,1 | 钢琴,1 | 买入结果：【命中】。2022-12-21 06:53:44 钢琴。本次回收：5。总投入：1922。总回收：2335。总收益：-285。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 贝斯,0 | 买入结果：【未命中】。2022-12-21 06:55:40 吉他。本次回收：0。总投入：1922。总回收：2335。总收益：-285。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 贝斯,0 | 买入结果：【命中】。2022-12-21 06:58:34 钢琴。本次回收：0。总投入：1922。总回收：2335。总收益：-285。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-21 06:59:32 架子鼓。本次回收：0。总投入：1922。总回收：2335。总收益：-285。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 吉他,0 | 买入结果：【未命中】。2022-12-21 07:02:26 贝斯。本次回收：0。总投入：1922。总回收：2335。总收益：-285。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 钢琴,0 | 买入结果：【命中】。2022-12-21 07:03:24 钢琴。本次回收：0。总投入：1922。总回收：2335。总收益：-285。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 贝斯,0 | 买入结果：【命中】。2022-12-21 07:04:22 小提琴。本次回收：0。总投入：1922。总回收：2335。总收益：-285。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：小提琴,1 | 钢琴,1 | 买入结果：【未命中】。2022-12-21 07:05:20 贝斯。本次回收：0。总投入：1924。总回收：2335。总收益：-287。
同意买入。买入操作配置【开启】。买入计量为20。模拟买入：贝斯,10 | 吉他,10 | 买入结果：【命中】。2022-12-21 07:08:14 贝斯。本次回收：50。总投入：1944。总回收：2385。总收益：-274。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：贝斯,1 | 吉他,1 | 买入结果：【未命中】。2022-12-21 07:09:12 圆号。本次回收：0。总投入：1946。总回收：2385。总收益：-275。
同意买入。买入操作配置【开启】。买入计量为20。模拟买入：小提琴,10 | 钢琴,10 | 买入结果：【未命中】。2022-12-21 07:12:06 架子鼓。本次回收：0。总投入：1966。总回收：2385。总收益：-294。
同意买入。买入操作配置【开启】。买入计量为200。模拟买入：吉他,100 | 小提琴,100 | 买入结果：【未命中】。2022-12-21 07:15:58 贝斯。本次回收：0。总投入：2166。总回收：2385。总收益：-478。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：吉他,1 | 小提琴,1 | 买入结果：【未命中】。2022-12-21 07:16:56 圆号。本次回收：0。总投入：2168。总回收：2385。总收益：-480。
同意买入。买入操作配置【开启】。买入计量为20。模拟买入：吉他,10 | 贝斯,10 | 买入结果：【未命中】。2022-12-21 07:18:52 钢琴。本次回收：0。总投入：2188。总回收：2385。总收益：-498。
同意买入。买入操作配置【开启】。买入计量为200。模拟买入：吉他,100 | 小提琴,100 | 买入结果：【未命中】。2022-12-21 07:27:34 贝斯。本次回收：0。总投入：2388。总回收：2385。总收益：-682。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：吉他,1 | 贝斯,1 | 买入结果：【未命中】。2022-12-21 07:33:22 萨克斯风。本次回收：0。总投入：2390。总回收：2385。总收益：-684。
同意买入。买入操作配置【开启】。买入计量为20。模拟买入：贝斯,10 | 吉他,10 | 买入结果：【未命中】。2022-12-21 07:34:20 小提琴。本次回收：0。总投入：2410。总回收：2385。总收益：-702。
同意买入。买入操作配置【开启】。买入计量为200。模拟买入：贝斯,100 | 吉他,100 | 买入结果：【未命中】。2022-12-21 07:36:16 小提琴。本次回收：0。总投入：2610。总回收：2385。总收益：-886。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：钢琴,1 | 吉他,1 | 买入结果：【命中】。2022-12-21 07:44:00 吉他。本次回收：5。总投入：2612。总回收：2390。总收益：-885。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 贝斯,0 | 买入结果：【未命中】。2022-12-21 07:44:58 吉他。本次回收：0。总投入：2612。总回收：2390。总收益：-885。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 吉他,0 | 买入结果：【命中】。2022-12-21 07:48:50 吉他。本次回收：0。总投入：2612。总回收：2390。总收益：-885。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 吉他,0 | 买入结果：【未命中】。2022-12-21 07:51:44 贝斯。本次回收：0。总投入：2612。总回收：2390。总收益：-885。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 小提琴,0 | 买入结果：【命中】。2022-12-21 07:54:38 钢琴。本次回收：0。总投入：2612。总回收：2390。总收益：-885。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：小提琴,1 | 吉他,1 | 买入结果：【未命中】。2022-12-21 07:57:32 萨克斯风。本次回收：0。总投入：2614。总回收：2390。总收益：-887。
同意买入。买入操作配置【开启】。买入计量为20。模拟买入：小提琴,10 | 吉他,10 | 买入结果：【未命中】。2022-12-21 08:03:20 钢琴。本次回收：0。总投入：2634。总回收：2390。总收益：-905。
同意买入。买入操作配置【开启】。买入计量为200。模拟买入：小提琴,100 | 贝斯,100 | 买入结果：【未命中】。2022-12-21 08:06:14 钢琴。本次回收：0。总投入：2834。总回收：2390。总收益：-1089。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：小提琴,1 | 钢琴,1 | 买入结果：【未命中】。2022-12-21 08:09:08 吉他。本次回收：0。总投入：2836。总回收：2390。总收益：-1091。
