模拟下注：贝斯,1 | 小提琴,1 | 下注结果：【未命中】。2022-12-04 18:22:08 钢琴。本次回收：0。，总投入：72，总回收：145，实际收益：25，开关=2
模拟下注：吉他,1 | 钢琴,1 | 下注结果：【未命中】。2022-12-05 06:54:12 贝斯。本次回收：0。，总投入：1744，总回收：1630，实际收益：-569，开关=2
****************************************
模拟下注：吉他,5 | 钢琴,5 | 下注结果：【命中】。2022-12-05 06:55:10 钢琴。本次回收：25。总投入：1754，总回收：1655，实际收益：-562，开关=2
****************************************
模拟下注：小提琴,1 | 钢琴,1 | 下注结果：【命中】。2022-12-05 07:05:48 钢琴。本次回收：5。总投入：1756，总回收：1660，实际收益：-561，开关=2
****************************************
模拟下注：贝斯,1 | 钢琴,1 | 下注结果：【命中】。2022-12-05 07:14:30 贝斯。本次回收：5。总投入：1758，总回收：1665，实际收益：-560，开关=2
****************************************
模拟下注：钢琴,1 | 贝斯,1 | 下注结果：【未命中】。2022-12-05 07:16:26 小提琴。本次回收：0。，总投入：1760，总回收：1665，实际收益：-561，开关=2
****************************************
模拟下注：吉他,5 | 钢琴,5 | 下注结果：【命中】。2022-12-05 07:20:18 钢琴。本次回收：25。总投入：1770，总回收：1690，实际收益：-555，开关=2
****************************************
模拟下注：贝斯,1 | 钢琴,1 | 下注结果：【命中】。2022-12-05 07:30:56 贝斯。本次回收：5。总投入：1772，总回收：1695，实际收益：-553，开关=2
****************************************
模拟下注：贝斯,1 | 钢琴,1 | 下注结果：【未命中】。2022-12-05 07:33:50 吉他。本次回收：0。，总投入：1774，总回收：1695，实际收益：-555，开关=2
****************************************
模拟下注：吉他,5 | 钢琴,5 | 下注结果：【命中】。2022-12-05 07:37:42 钢琴。本次回收：25。总投入：1784，总回收：1720，实际收益：-549，开关=2
****************************************
模拟下注：小提琴,1 | 贝斯,1 | 下注结果：【未命中】。2022-12-05 07:40:36 钢琴。本次回收：0。，总投入：1786，总回收：1720，实际收益：-550，开关=2
****************************************
模拟下注：小提琴,5 | 贝斯,5 | 下注结果：【命中】。2022-12-05 07:41:34 贝斯。本次回收：25。总投入：1796，总回收：1745，实际收益：-544，开关=2
****************************************
模拟下注：贝斯,1 | 吉他,1 | 下注结果：【命中】。2022-12-05 07:55:06 吉他。本次回收：5。总投入：1798，总回收：1750，实际收益：-542，开关=2
****************************************
模拟下注：贝斯,1 | 小提琴,1 | 下注结果：【命中】。2022-12-05 07:57:02 贝斯。本次回收：5。总投入：1800，总回收：1755，实际收益：-541，开关=2
****************************************
模拟下注：小提琴,1 | 贝斯,1 | 下注结果：【命中】。2022-12-05 08:13:28 贝斯。本次回收：5。总投入：1802，总回收：1760，实际收益：-540，开关=2
****************************************
模拟下注：小提琴,1 | 吉他,1 | 下注结果：【命中】。2022-12-05 08:16:22 小提琴。本次回收：5。总投入：1804，总回收：1765，实际收益：-538，开关=2
****************************************
模拟下注：贝斯,1 | 钢琴,1 | 下注结果：【未命中】。2022-12-05 08:21:12 圆号。本次回收：0。，总投入：1806，总回收：1765，实际收益：-540，开关=2
****************************************
模拟下注：吉他,5 | 小提琴,5 | 下注结果：【未命中】。2022-12-05 08:28:56 钢琴。本次回收：0。，总投入：1816，总回收：1765，实际收益：-549，开关=2
****************************************
模拟下注：吉他,25 | 小提琴,25 | 下注结果：【未命中】。2022-12-05 08:30:52 钢琴。本次回收：0。，总投入：1866，总回收：1765，实际收益：-595，开关=2
****************************************
模拟下注：吉他,125 | 小提琴,125 | 下注结果：【命中】。2022-12-05 08:32:48 吉他。本次回收：625。总投入：2116，总回收：2390，实际收益：-429，开关=2
****************************************
模拟下注：吉他,1 | 小提琴,1 | 下注结果：【未命中】。2022-12-05 08:43:26 贝斯。本次回收：0。，总投入：2118，总回收：2390，实际收益：-430，开关=2
****************************************
模拟下注：吉他,5 | 小提琴,5 | 下注结果：【命中】。2022-12-05 08:44:24 小提琴。本次回收：25。总投入：2128，总回收：2415，实际收益：-424，开关=2
****************************************
模拟下注：小提琴,1 | 贝斯,1 | 下注结果：【命中】。2022-12-05 08:48:16 小提琴。本次回收：5。总投入：2130，总回收：2420，实际收益：-422，开关=2
****************************************
模拟下注：小提琴,1 | 贝斯,1 | 下注结果：【未命中】。2022-12-05 09:04:42 钢琴。本次回收：0。，总投入：2132，总回收：2420，实际收益：-424，开关=2
****************************************
模拟下注：小提琴,5 | 贝斯,5 | 下注结果：【未命中】。2022-12-05 09:08:34 吉他。本次回收：0。，总投入：2142，总回收：2420，实际收益：-433，开关=2
****************************************
模拟下注：小提琴,25 | 贝斯,25 | 下注结果：【未命中】。2022-12-05 09:13:24 架子鼓。本次回收：0。，总投入：2192，总回收：2420，实际收益：-479，开关=1
****************************************
模拟下注：贝斯,125 | 小提琴,125 | 下注结果：【未命中】。2022-12-05 09:23:04 钢琴。本次回收：0。，总投入：2442，总回收：2420，实际收益：-709，开关=1
****************************************
模拟下注：贝斯,1 | 小提琴,1 | 下注结果：【命中】。2022-12-05 09:25:58 小提琴。本次回收：5。总投入：2444，总回收：2425，实际收益：-708，开关=1
****************************************
模拟下注：贝斯,1 | 小提琴,1 | 下注结果：【未命中】。2022-12-05 09:26:56 钢琴。本次回收：0。，总投入：2446，总回收：2425，实际收益：-710，开关=1
****************************************
模拟下注：钢琴,5 | 小提琴,5 | 下注结果：【命中】。2022-12-05 09:32:44 小提琴。本次回收：25。总投入：2456，总回收：2450，实际收益：-703，开关=1
****************************************
模拟下注：钢琴,1 | 小提琴,1 | 下注结果：【命中】。2022-12-05 09:33:42 小提琴。本次回收：5。总投入：2458，总回收：2455，实际收益：-702，开关=1
****************************************
模拟下注：钢琴,1 | 小提琴,1 | 下注结果：【未命中】。2022-12-05 09:34:40 萨克斯风。本次回收：0。，总投入：2460，总回收：2455，实际收益：-704，开关=1
****************************************
模拟下注：吉他,5 | 贝斯,5 | 下注结果：【未命中】。2022-12-05 09:36:36 小提琴。本次回收：0。，总投入：2470，总回收：2455，实际收益：-713，开关=1
****************************************
模拟下注：吉他,25 | 贝斯,25 | 下注结果：【未命中】。2022-12-05 09:43:22 钢琴。本次回收：0。，总投入：2520，总回收：2455，实际收益：-759，开关=2
****************************************
模拟下注：吉他,125 | 贝斯,125 | 下注结果：【命中】。2022-12-05 09:52:04 吉他。本次回收：625。总投入：2770，总回收：3080，实际收益：-592，开关=2
****************************************
模拟下注：钢琴,1 | 小提琴,1 | 下注结果：【命中】。2022-12-05 10:06:34 钢琴。本次回收：5。总投入：2772，总回收：3085，实际收益：-591，开关=2
****************************************
模拟下注：贝斯,1 | 吉他,1 | 下注结果：【未命中】。2022-12-05 10:11:24 钢琴。本次回收：0。，总投入：2774，总回收：3085，实际收益：-593，开关=2
****************************************
模拟下注：贝斯,5 | 吉他,5 | 下注结果：【未命中】。2022-12-05 10:14:18 小提琴。本次回收：0。，总投入：2784，总回收：3085，实际收益：-602，开关=2
****************************************
模拟下注：钢琴,25 | 小提琴,25 | 下注结果：【命中】。2022-12-05 10:15:16 钢琴。本次回收：125。总投入：2834，总回收：3210，实际收益：-568，开关=1
****************************************
模拟下注：钢琴,1 | 小提琴,1 | 下注结果：【未命中】。2022-12-05 10:18:10 架子鼓。本次回收：0。，总投入：2836，总回收：3210，实际收益：-570，开关=1
****************************************
模拟下注：钢琴,5 | 小提琴,5 | 下注结果：【未命中】。2022-12-05 10:23:58 竖琴。本次回收：0。，总投入：2846，总回收：3210，实际收益：-579，开关=1
****************************************
模拟下注：贝斯,25 | 吉他,25 | 下注结果：【命中】。2022-12-05 10:28:48 贝斯。本次回收：125。总投入：2896，总回收：3335，实际收益：-546，开关=2
****************************************
模拟下注：钢琴,1 | 小提琴,1 | 下注结果：【未命中】。2022-12-05 10:35:34 架子鼓。本次回收：0。，总投入：2898，总回收：3335，实际收益：-548，开关=2
****************************************
