买入=未开启，买入计量为0，买入：贝斯,0 | 吉他,0 | 买入结果：【未命中】。2022-12-26 10:13:34 钢琴。本次回收：0。总投入：0。总回收：0。总收益：0。
回合：54，买入=未开启，买入计量为0，买入：吉他,0 | 贝斯,0 | 买入结果：【命中】。2022-12-26 22:12:46 贝斯。本次回收：0。总投入：6。总回收：15。总收益：4。
回合：60，买入=未开启，买入计量为0，买入：钢琴,0 | 贝斯,0 | 买入结果：【未命中】。2022-12-26 22:18:34 吉他。本次回收：0。总投入：6。总回收：15。总收益：4。
回合：64，买入=未开启，买入计量为0，买入：吉他,0 | 小提琴,0 | 买入结果：【命中】。2022-12-26 22:22:26 小提琴。本次回收：0。总投入：6。总回收：15。总收益：4。
回合：79，买入=未开启，买入计量为0，买入：贝斯,0 | 小提琴,0 | 买入结果：【命中】。2022-12-26 22:36:56 贝斯。本次回收：0。总投入：6。总回收：15。总收益：4。
回合：87，买入=开启，买入计量为2，买入：吉他,1 | 贝斯,1 | 回合：11，买入=未开启，买入计量为0，买入：钢琴,0 | 贝斯,0 | 买入结果：【命中】。2022-12-26 22:55:18 钢琴。本次回收：0。总投入：8。总回收：15。总收益：2。
回合：13，买入=未开启，买入计量为0，买入：吉他,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-26 22:57:14 贝斯。本次回收：0。总投入：8。总回收：15。总收益：2。
回合：19，买入=未开启，买入计量为0，买入：吉他,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-26 23:03:02 贝斯。本次回收：0。总投入：8。总回收：15。总收益：2。
回合：21，买入=未开启，买入计量为0，买入：吉他,0 | 贝斯,0 | 买入结果：【命中】。2022-12-26 23:04:58 吉他。本次回收：0。总投入：8。总回收：15。总收益：2。
回合：24，买入=未开启，买入计量为0，买入：吉他,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-26 23:07:52 贝斯。本次回收：0。总投入：8。总回收：15。总收益：2。
回合：25，买入=未开启，买入计量为0，买入：吉他,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-26 23:08:50 钢琴。本次回收：0。总投入：8。总回收：15。总收益：2。
回合：28，买入=未开启，买入计量为0，买入：贝斯,0 | 钢琴,0 | 买入结果：【命中】。2022-12-26 23:11:44 钢琴。本次回收：0。总投入：8。总回收：15。总收益：2。
回合：46，买入=未开启，买入计量为0，买入：贝斯,0 | 钢琴,0 | 买入结果：【命中】。2022-12-26 23:29:08 贝斯。本次回收：0。总投入：8。总回收：15。总收益：2。
回合：57，买入=开启，买入计量为2，买入：钢琴,1 | 吉他,1 | 
