同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 小提琴,0 | 买入结果：【命中】。2022-12-23 08:14:38 钢琴。本次回收：0。总投入：0。总回收：0。总收益：0。
同意买入。买入操作配置【开启】。买入计量为13。模拟买入：吉他,6 | 小提琴,6 | 买入结果：【命中】。2022-12-23 19:15:50 吉他。本次回收：30。总投入：17。总回收：35。总收益：6。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：钢琴,1 | 小提琴,1 | 买入结果：【未命中】。2022-12-23 19:16:48 吉他。本次回收：0。总投入：19。总回收：35。总收益：4。
同意买入。买入操作配置【开启】。买入计量为13。模拟买入：贝斯,6 | 小提琴,6 | 买入结果：【命中】。2022-12-23 19:19:42 小提琴。本次回收：30。总投入：32。总回收：65。总收益：11。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：贝斯,1 | 钢琴,1 | 买入结果：【未命中】。2022-12-23 19:20:40 小提琴。本次回收：0。总投入：34。总回收：65。总收益：9。
同意买入。买入操作配置【开启】。买入计量为13。模拟买入：贝斯,6 | 钢琴,6 | 买入结果：【未命中】。2022-12-23 19:25:30 小提琴。本次回收：0。总投入：47。总回收：65。总收益：-1。
同意买入。买入操作配置【开启】。买入计量为86。模拟买入：钢琴,43 | 小提琴,43 | 买入结果：【未命中】。2022-12-23 19:28:24 架子鼓。本次回收：0。总投入：133。总回收：65。总收益：-81。
同意买入。买入操作配置【开启】。买入计量为573。模拟买入：贝斯,286 | 小提琴,286 | 买入结果：【未命中】。2022-12-23 19:31:18 竖琴。本次回收：0。总投入：706。总回收：65。总收益：-608。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：贝斯,1 | 钢琴,1 | 买入结果：【命中】。2022-12-23 19:33:14 贝斯。本次回收：5。总投入：708。总回收：70。总收益：-606。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 小提琴,0 | 买入结果：【命中】。2022-12-23 19:34:12 小提琴。本次回收：0。总投入：708。总回收：70。总收益：-606。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 贝斯,0 | 买入结果：【未命中】。2022-12-23 19:35:10 小提琴。本次回收：0。总投入：708。总回收：70。总收益：-606。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 小提琴,0 | 买入结果：【命中】。2022-12-23 19:37:06 小提琴。本次回收：0。总投入：708。总回收：70。总收益：-606。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：钢琴,1 | 贝斯,1 | 买入结果：【命中】。2022-12-23 19:38:04 钢琴。本次回收：5。总投入：710。总回收：75。总收益：-605。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：吉他,1 | 小提琴,1 | 买入结果：【未命中】。2022-12-23 19:39:02 架子鼓。本次回收：0。总投入：712。总回收：75。总收益：-607。
同意买入。买入操作配置【开启】。买入计量为13。模拟买入：吉他,6 | 钢琴,6 | 买入结果：【未命中】。2022-12-23 19:44:50 小提琴。本次回收：0。总投入：725。总回收：75。总收益：-619。
同意买入。买入操作配置【开启】。买入计量为86。模拟买入：吉他,43 | 钢琴,43 | 买入结果：【命中】。2022-12-23 19:45:48 钢琴。本次回收：215。总投入：811。总回收：290。总收益：-561。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-23 19:46:46 萨克斯风。本次回收：0。总投入：811。总回收：290。总收益：-561。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 贝斯,0 | 买入结果：【未命中】。2022-12-23 19:52:34 架子鼓。本次回收：0。总投入：811。总回收：290。总收益：-561。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 贝斯,0 | 买入结果：【命中】。2022-12-23 19:53:32 吉他。本次回收：0。总投入：811。总回收：290。总收益：-561。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 贝斯,0 | 买入结果：【命中】。2022-12-23 19:58:22 小提琴。本次回收：0。总投入：811。总回收：290。总收益：-561。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：贝斯,1 | 吉他,1 | 买入结果：【未命中】。2022-12-23 20:00:18 架子鼓。本次回收：0。总投入：813。总回收：290。总收益：-563。
同意买入。买入操作配置【开启】。买入计量为13。模拟买入：贝斯,6 | 小提琴,6 | 买入结果：【命中】。2022-12-23 20:05:08 贝斯。本次回收：30。总投入：826。总回收：320。总收益：-556。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：吉他,1 | 小提琴,1 | 买入结果：【未命中】。2022-12-23 20:09:58 钢琴。本次回收：0。总投入：828。总回收：320。总收益：-558。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 小提琴,0 | 买入结果：【命中】。2022-12-23 20:22:32 贝斯。本次回收：0。总投入：828。总回收：320。总收益：-558。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-23 21:14:44 架子鼓。本次回收：0。总投入：0。总回收：0。总收益：0。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 小提琴,0 | 买入结果：【命中】。2022-12-23 21:22:28 小提琴。本次回收：0。总投入：0。总回收：0。总收益：0。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 贝斯,0 | 买入结果：【命中】。2022-12-23 21:26:20 钢琴。本次回收：0。总投入：0。总回收：0。总收益：0。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-23 21:32:08 竖琴。本次回收：0。总投入：0。总回收：0。总收益：0。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 吉他,0 | 买入结果：【未命中】。2022-12-23 21:34:04 小提琴。本次回收：0。总投入：0。总回收：0。总收益：0。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 吉他,0 | 买入结果：【未命中】。2022-12-23 21:36:00 架子鼓。本次回收：0。总投入：0。总回收：0。总收益：0。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 钢琴,0 | 买入结果：【命中】。2022-12-23 21:38:54 贝斯。本次回收：0。总投入：0。总回收：0。总收益：0。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 吉他,0 | 买入结果：【未命中】。2022-12-23 21:40:50 钢琴。本次回收：0。总投入：0。总回收：0。总收益：0。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 钢琴,0 | 买入结果：【命中】。2022-12-23 21:42:46 贝斯。本次回收：0。总投入：0。总回收：0。总收益：0。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 钢琴,0 | 买入结果：【命中】。2022-12-23 21:43:44 钢琴。本次回收：0。总投入：0。总回收：0。总收益：0。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：吉他,1 | 小提琴,1 | 买入结果：【命中】。2022-12-23 21:44:42 小提琴。本次回收：5。总投入：2。总回收：5。总收益：1。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：吉他,1 | 钢琴,1 | 买入结果：【命中】。2022-12-23 21:45:40 吉他。本次回收：5。总投入：4。总回收：10。总收益：2。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：吉他,1 | 钢琴,1 | 买入结果：【命中】。2022-12-23 21:46:38 钢琴。本次回收：5。总投入：6。总回收：15。总收益：4。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：吉他,1 | 小提琴,1 | 买入结果：【未命中】。2022-12-23 21:47:36 萨克斯风。本次回收：0。总投入：8。总回收：15。总收益：2。
同意买入。买入操作配置【开启】。买入计量为13。模拟买入：小提琴,6 | 吉他,6 | 买入结果：【未命中】。2022-12-23 21:49:32 钢琴。本次回收：0。总投入：21。总回收：15。总收益：-9。
同意买入。买入操作配置【开启】。买入计量为86。模拟买入：小提琴,43 | 钢琴,43 | 买入结果：【命中】。2022-12-23 21:51:28 钢琴。本次回收：215。总投入：107。总回收：230。总收益：47。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 吉他,0 | 买入结果：【命中】。2022-12-23 21:52:26 吉他。本次回收：0。总投入：107。总回收：230。总收益：47。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：小提琴,1 | 钢琴,1 | 买入结果：【命中】。2022-12-23 21:53:24 小提琴。本次回收：5。总投入：109。总回收：235。总收益：48。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：小提琴,1 | 钢琴,1 | 买入结果：【未命中】。2022-12-23 21:54:22 吉他。本次回收：0。总投入：111。总回收：235。总收益：47。
同意买入。买入操作配置【开启】。买入计量为13。模拟买入：吉他,6 | 钢琴,6 | 买入结果：【未命中】。2022-12-23 21:59:12 架子鼓。本次回收：0。总投入：124。总回收：235。总收益：35。
同意买入。买入操作配置【开启】。买入计量为86。模拟买入：小提琴,43 | 贝斯,43 | 买入结果：【未命中】。2022-12-23 22:00:10 竖琴。本次回收：0。总投入：210。总回收：235。总收益：-43。
同意买入。买入操作配置【开启】。买入计量为573。模拟买入：贝斯,286 | 小提琴,286 | 买入结果：【未命中】。2022-12-23 22:02:06 吉他。本次回收：0。总投入：783。总回收：235。总收益：-571。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：吉他,1 | 钢琴,1 | 买入结果：【命中】。2022-12-23 22:03:04 吉他。本次回收：5。总投入：785。总回收：240。总收益：-569。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 吉他,0 | 买入结果：【未命中】。2022-12-23 22:04:02 小提琴。本次回收：0。总投入：785。总回收：240。总收益：-569。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-23 22:05:58 吉他。本次回收：0。总投入：785。总回收：240。总收益：-569。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 吉他,0 | 买入结果：【未命中】。2022-12-23 22:09:50 钢琴。本次回收：0。总投入：785。总回收：240。总收益：-569。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-23 22:11:46 吉他。本次回收：0。总投入：785。总回收：240。总收益：-569。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-23 22:14:40 圆号。本次回收：0。总投入：785。总回收：240。总收益：-569。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 吉他,0 | 买入结果：【未命中】。2022-12-23 22:18:32 钢琴。本次回收：0。总投入：785。总回收：240。总收益：-569。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 吉他,0 | 买入结果：【未命中】。2022-12-23 22:22:24 小提琴。本次回收：0。总投入：785。总回收：240。总收益：-569。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-23 22:35:56 架子鼓。本次回收：0。总投入：785。总回收：240。总收益：-569。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 小提琴,0 | 买入结果：【命中】。2022-12-23 22:39:48 小提琴。本次回收：0。总投入：785。总回收：240。总收益：-569。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 吉他,0 | 买入结果：【未命中】。2022-12-23 22:40:46 小提琴。本次回收：0。总投入：785。总回收：240。总收益：-569。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-23 22:42:42 圆号。本次回收：0。总投入：785。总回收：240。总收益：-569。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 吉他,0 | 买入结果：【未命中】。2022-12-23 22:46:34 小提琴。本次回收：0。总投入：785。总回收：240。总收益：-569。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-23 22:57:12 钢琴。本次回收：0。总投入：785。总回收：240。总收益：-569。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 吉他,0 | 买入结果：【未命中】。2022-12-23 23:26:12 贝斯。本次回收：0。总投入：785。总回收：240。总收益：-569。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 吉他,0 | 买入结果：【未命中】。2022-12-23 23:30:04 竖琴。本次回收：0。总投入：785。总回收：240。总收益：-569。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 吉他,0 | 买入结果：【命中】。2022-12-23 23:32:58 吉他。本次回收：0。总投入：785。总回收：240。总收益：-569。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 钢琴,0 | 买入结果：【命中】。2022-12-23 23:33:56 小提琴。本次回收：0。总投入：785。总回收：240。总收益：-569。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 吉他,0 | 买入结果：【命中】。2022-12-23 23:34:54 吉他。本次回收：0。总投入：785。总回收：240。总收益：-569。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：钢琴,1 | 吉他,1 | 买入结果：【未命中】。2022-12-23 23:36:50 贝斯。本次回收：0。总投入：787。总回收：240。总收益：-571。
同意买入。买入操作配置【开启】。买入计量为13。模拟买入：小提琴,6 | 吉他,6 | 买入结果：【未命中】。2022-12-23 23:42:38 贝斯。本次回收：0。总投入：800。总回收：240。总收益：-583。
同意买入。买入操作配置【开启】。买入计量为86。模拟买入：钢琴,43 | 小提琴,43 | 买入结果：【未命中】。2022-12-23 23:46:30 贝斯。本次回收：0。总投入：886。总回收：240。总收益：-662。
同意买入。买入操作配置【开启】。买入计量为573。模拟买入：钢琴,286 | 吉他,286 | 买入结果：【命中】。2022-12-23 23:56:10 吉他。本次回收：1430。总投入：1459。总回收：1670。总收益：-281。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 小提琴,0 | 同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 钢琴,0 | 买入结果：【命中】。2022-12-24 00:44:30 钢琴。本次回收：0。总投入：1459。总回收：1670。总收益：-281。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 钢琴,0 | 买入结果：【命中】。2022-12-24 00:47:24 钢琴。本次回收：0。总投入：1459。总回收：1670。总收益：-281。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 吉他,0 | 买入结果：【命中】。2022-12-24 00:48:22 吉他。本次回收：0。总投入：1459。总回收：1670。总收益：-281。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：贝斯,1 | 钢琴,1 | 买入结果：【未命中】。2022-12-24 00:49:20 吉他。本次回收：0。总投入：1461。总回收：1670。总收益：-283。
同意买入。买入操作配置【开启】。买入计量为13。模拟买入：贝斯,6 | 钢琴,6 | 买入结果：【命中】。2022-12-24 00:57:04 钢琴。本次回收：30。总投入：1474。总回收：1700。总收益：-276。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：贝斯,1 | 钢琴,1 | 买入结果：【命中】。2022-12-24 01:00:56 钢琴。本次回收：5。总投入：1476。总回收：1705。总收益：-275。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：吉他,1 | 钢琴,1 | 买入结果：【未命中】。2022-12-24 01:12:32 小提琴。本次回收：0。总投入：1478。总回收：1705。总收益：-277。
同意买入。买入操作配置【开启】。买入计量为13。模拟买入：钢琴,6 | 吉他,6 | 买入结果：【命中】。2022-12-24 01:17:22 钢琴。本次回收：30。总投入：1491。总回收：1735。总收益：-269。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：钢琴,1 | 吉他,1 | 买入结果：【命中】。2022-12-24 01:32:50 吉他。本次回收：5。总投入：1493。总回收：1740。总收益：-268。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-24 02:02:48 贝斯。本次回收：0。总投入：1493。总回收：1740。总收益：-268。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 贝斯,0 | 买入结果：【命中】。2022-12-24 02:05:42 吉他。本次回收：0。总投入：1493。总回收：1740。总收益：-268。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 贝斯,0 | 买入结果：【命中】。2022-12-24 02:06:40 吉他。本次回收：0。总投入：1493。总回收：1740。总收益：-268。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-24 02:09:34 竖琴。本次回收：0。总投入：1493。总回收：1740。总收益：-268。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 吉他,0 | 买入结果：【未命中】。2022-12-24 02:18:16 钢琴。本次回收：0。总投入：1493。总回收：1740。总收益：-268。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 吉他,0 | 买入结果：【未命中】。2022-12-24 02:24:04 架子鼓。本次回收：0。总投入：1493。总回收：1740。总收益：-268。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 吉他,0 | 买入结果：【未命中】。2022-12-24 02:28:54 小提琴。本次回收：0。总投入：1493。总回收：1740。总收益：-268。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-24 02:30:50 架子鼓。本次回收：0。总投入：1493。总回收：1740。总收益：-268。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 钢琴,0 | 买入结果：【命中】。2022-12-24 02:33:44 钢琴。本次回收：0。总投入：1493。总回收：1740。总收益：-268。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 小提琴,0 | 买入结果：【命中】。2022-12-24 02:34:42 小提琴。本次回收：0。总投入：1493。总回收：1740。总收益：-268。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 钢琴,0 | 买入结果：【命中】。2022-12-24 02:37:36 钢琴。本次回收：0。总投入：1493。总回收：1740。总收益：-268。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：吉他,1 | 小提琴,1 | 买入结果：【命中】。2022-12-24 02:38:34 吉他。本次回收：5。总投入：1495。总回收：1745。总收益：-267。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：吉他,1 | 小提琴,1 | 买入结果：【命中】。2022-12-24 02:39:32 吉他。本次回收：5。总投入：1497。总回收：1750。总收益：-265。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：贝斯,1 | 吉他,1 | 买入结果：【未命中】。2022-12-24 02:41:28 钢琴。本次回收：0。总投入：1499。总回收：1750。总收益：-267。
同意买入。买入操作配置【开启】。买入计量为13。模拟买入：钢琴,6 | 小提琴,6 | 买入结果：【命中】。2022-12-24 02:48:14 钢琴。本次回收：30。总投入：1512。总回收：1780。总收益：-260。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：贝斯,1 | 钢琴,1 | 买入结果：【命中】。2022-12-24 02:49:12 钢琴。本次回收：5。总投入：1514。总回收：1785。总收益：-259。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：贝斯,1 | 钢琴,1 | 买入结果：【命中】。2022-12-24 02:51:08 钢琴。本次回收：5。总投入：1516。总回收：1790。总收益：-258。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：贝斯,1 | 钢琴,1 | 买入结果：【命中】。2022-12-24 02:53:04 贝斯。本次回收：5。总投入：1518。总回收：1795。总收益：-256。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：小提琴,1 | 钢琴,1 | 买入结果：【命中】。2022-12-24 02:54:02 小提琴。本次回收：5。总投入：1520。总回收：1800。总收益：-255。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：吉他,1 | 小提琴,1 | 买入结果：【命中】。2022-12-24 03:17:14 吉他。本次回收：5。总投入：1522。总回收：1805。总收益：-254。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：贝斯,1 | 小提琴,1 | 买入结果：【命中】。2022-12-24 03:18:12 贝斯。本次回收：5。总投入：1524。总回收：1810。总收益：-252。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：小提琴,1 | 吉他,1 | 买入结果：【命中】。2022-12-24 03:19:10 吉他。本次回收：5。总投入：1526。总回收：1815。总收益：-251。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：贝斯,1 | 吉他,1 | 买入结果：【未命中】。2022-12-24 03:23:02 钢琴。本次回收：0。总投入：1528。总回收：1815。总收益：-253。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 吉他,0 | 买入结果：【未命中】。2022-12-24 03:40:26 小提琴。本次回收：0。总投入：1528。总回收：1815。总收益：-253。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 吉他,0 | 买入结果：【未命中】。2022-12-24 03:44:18 小提琴。本次回收：0。总投入：1528。总回收：1815。总收益：-253。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-24 03:46:14 竖琴。本次回收：0。总投入：1528。总回收：1815。总收益：-253。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 贝斯,0 | 买入结果：【命中】。2022-12-24 03:49:08 钢琴。本次回收：0。总投入：1528。总回收：1815。总收益：-253。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 贝斯,0 | 买入结果：【未命中】。2022-12-24 03:50:06 小提琴。本次回收：0。总投入：1528。总回收：1815。总收益：-253。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 小提琴,0 | 买入结果：【命中】。2022-12-24 03:51:04 吉他。本次回收：0。总投入：1528。总回收：1815。总收益：-253。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-24 03:53:00 小提琴。本次回收：0。总投入：1528。总回收：1815。总收益：-253。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 钢琴,0 | 买入结果：【命中】。2022-12-24 03:56:52 钢琴。本次回收：0。总投入：1528。总回收：1815。总收益：-253。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：贝斯,1 | 吉他,1 | 买入结果：【未命中】。2022-12-24 03:57:50 小提琴。本次回收：0。总投入：1530。总回收：1815。总收益：-255。
同意买入。买入操作配置【开启】。买入计量为13。模拟买入：小提琴,6 | 钢琴,6 | 买入结果：【未命中】。2022-12-24 04:00:44 贝斯。本次回收：0。总投入：1543。总回收：1815。总收益：-267。
同意买入。买入操作配置【开启】。买入计量为86。模拟买入：贝斯,43 | 钢琴,43 | 买入结果：【命中】。2022-12-24 04:03:38 钢琴。本次回收：215。总投入：1629。总回收：2030。总收益：-209。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-24 04:16:12 小提琴。本次回收：0。总投入：1629。总回收：2030。总收益：-209。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-24 04:20:04 小提琴。本次回收：0。总投入：1629。总回收：2030。总收益：-209。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-24 04:23:56 小提琴。本次回收：0。总投入：1629。总回收：2030。总收益：-209。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-24 04:30:42 架子鼓。本次回收：0。总投入：1629。总回收：2030。总收益：-209。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-24 04:32:38 贝斯。本次回收：0。总投入：1629。总回收：2030。总收益：-209。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 贝斯,0 | 买入结果：【未命中】。2022-12-24 04:44:14 小提琴。本次回收：0。总投入：1629。总回收：2030。总收益：-209。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 吉他,0 | 买入结果：【未命中】。2022-12-24 04:50:02 竖琴。本次回收：0。总投入：1629。总回收：2030。总收益：-209。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 吉他,0 | 买入结果：【命中】。2022-12-24 04:57:46 贝斯。本次回收：0。总投入：1629。总回收：2030。总收益：-209。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 贝斯,0 | 同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-24 05:15:10 小提琴。本次回收：0。总投入：1629。总回收：2030。总收益：-209。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-24 05:19:02 萨克斯风。本次回收：0。总投入：1629。总回收：2030。总收益：-209。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 贝斯,0 | 买入结果：【未命中】。2022-12-24 05:22:54 小提琴。本次回收：0。总投入：1629。总回收：2030。总收益：-209。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-24 05:24:50 竖琴。本次回收：0。总投入：1629。总回收：2030。总收益：-209。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-24 05:27:44 吉他。本次回收：0。总投入：1629。总回收：2030。总收益：-209。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 吉他,0 | 买入结果：【未命中】。2022-12-24 05:44:10 贝斯。本次回收：0。总投入：1629。总回收：2030。总收益：-209。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 吉他,0 | 买入结果：【未命中】。2022-12-24 05:48:02 架子鼓。本次回收：0。总投入：1629。总回收：2030。总收益：-209。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 吉他,0 | 买入结果：【未命中】。2022-12-24 05:50:56 萨克斯风。本次回收：0。总投入：1629。总回收：2030。总收益：-209。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 贝斯,0 | 买入结果：【命中】。2022-12-24 05:52:52 贝斯。本次回收：0。总投入：1629。总回收：2030。总收益：-209。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-24 05:54:48 萨克斯风。本次回收：0。总投入：1629。总回收：2030。总收益：-209。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 贝斯,0 | 买入结果：【命中】。2022-12-24 05:56:44 小提琴。本次回收：0。总投入：1629。总回收：2030。总收益：-209。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 贝斯,0 | 买入结果：【未命中】。2022-12-24 06:05:26 吉他。本次回收：0。总投入：1629。总回收：2030。总收益：-209。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 吉他,0 | 买入结果：【命中】。2022-12-24 06:07:22 钢琴。本次回收：0。总投入：1629。总回收：2030。总收益：-209。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：吉他,1 | 贝斯,1 | 买入结果：【命中】。2022-12-24 06:08:20 贝斯。本次回收：5。总投入：1631。总回收：2035。总收益：-208。
