同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 吉他,0 | 买入结果：【未命中】。2022-12-24 13:23:20 小提琴。本次回收：0。总投入：0。总回收：0。总收益：0。
同意买入。买入操作配置【开启】。买入计量为13。模拟买入：吉他,6 | 小提琴,6 | 买入结果：【未命中】。2022-12-24 21:37:18 钢琴。本次回收：0。总投入：1083。总回收：2015。总收益：283。
同意买入。买入操作配置【开启】。买入计量为86。模拟买入：吉他,43 | 钢琴,43 | 同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 贝斯,0 | 买入结果：【命中】。2022-12-24 21:54:42 贝斯。本次回收：0。总投入：1169。总回收：2015。总收益：204。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-24 21:58:34 贝斯。本次回收：0。总投入：1169。总回收：2015。总收益：204。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 小提琴,0 | 买入结果：【命中】。2022-12-24 22:02:26 小提琴。本次回收：0。总投入：1169。总回收：2015。总收益：204。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 贝斯,0 | 买入结果：【未命中】。2022-12-24 22:03:24 钢琴。本次回收：0。总投入：1169。总回收：2015。总收益：204。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 贝斯,0 | 买入结果：【未命中】。2022-12-24 22:06:18 萨克斯风。本次回收：0。总投入：1169。总回收：2015。总收益：204。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 钢琴,0 | 买入结果：【命中】。2022-12-24 22:09:12 钢琴。本次回收：0。总投入：1169。总回收：2015。总收益：204。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 贝斯,0 | 买入结果：【命中】。2022-12-24 22:10:10 贝斯。本次回收：0。总投入：1169。总回收：2015。总收益：204。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：吉他,1 | 小提琴,1 | 买入结果：【命中】。2022-12-24 22:19:50 小提琴。本次回收：5。总投入：1171。总回收：2020。总收益：205。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-24 22:20:48 贝斯。本次回收：0。总投入：1171。总回收：2020。总收益：205。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-24 22:21:46 小提琴。本次回收：0。总投入：1171。总回收：2020。总收益：205。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 贝斯,0 | 买入结果：【命中】。2022-12-24 22:25:38 贝斯。本次回收：0。总投入：1171。总回收：2020。总收益：205。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 钢琴,0 | 买入结果：【命中】。2022-12-24 22:48:50 钢琴。本次回收：0。总投入：1171。总回收：2020。总收益：205。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：钢琴,1 | 贝斯,1 | 买入结果：【未命中】。2022-12-24 22:56:34 小提琴。本次回收：0。总投入：1173。总回收：2020。总收益：203。
同意买入。买入操作配置【开启】。买入计量为13。模拟买入：吉他,6 | 钢琴,6 | 买入结果：【命中】。2022-12-24 23:00:26 钢琴。本次回收：30。总投入：1186。总回收：2050。总收益：210。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 贝斯,0 | 买入结果：【未命中】。2022-12-24 23:10:06 圆号。本次回收：0。总投入：1186。总回收：2050。总收益：210。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-24 23:47:48 贝斯。本次回收：0。总投入：1186。总回收：2050。总收益：210。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 贝斯,0 | 买入结果：【未命中】。2022-12-24 23:48:46 吉他。本次回收：0。总投入：1186。总回收：2050。总收益：210。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-24 23:55:32 吉他。本次回收：0。总投入：1186。总回收：2050。总收益：210。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 钢琴,0 | 买入结果：【命中】。2022-12-25 00:00:22 贝斯。本次回收：0。总投入：1186。总回收：2050。总收益：210。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 钢琴,0 | 买入结果：【命中】。2022-12-25 00:01:20 钢琴。本次回收：0。总投入：1186。总回收：2050。总收益：210。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-25 00:02:18 竖琴。本次回收：0。总投入：1186。总回收：2050。总收益：210。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-25 00:03:16 架子鼓。本次回收：0。总投入：1186。总回收：2050。总收益：210。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-25 00:06:10 钢琴。本次回收：0。总投入：1186。总回收：2050。总收益：210。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-25 00:17:46 架子鼓。本次回收：0。总投入：1186。总回收：2050。总收益：210。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-25 00:21:38 吉他。本次回收：0。总投入：1186。总回收：2050。总收益：210。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-25 00:25:30 竖琴。本次回收：0。总投入：1186。总回收：2050。总收益：210。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-25 00:27:26 竖琴。本次回收：0。总投入：1186。总回收：2050。总收益：210。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-25 00:31:18 架子鼓。本次回收：0。总投入：1186。总回收：2050。总收益：210。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 钢琴,0 | 买入结果：【命中】。2022-12-25 00:34:12 钢琴。本次回收：0。总投入：1186。总回收：2050。总收益：210。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 吉他,0 | 买入结果：【命中】。2022-12-25 00:35:10 吉他。本次回收：0。总投入：1186。总回收：2050。总收益：210。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-25 00:36:08 吉他。本次回收：0。总投入：1186。总回收：2050。总收益：210。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 小提琴,0 | 买入结果：【命中】。2022-12-25 00:39:02 小提琴。本次回收：0。总投入：1186。总回收：2050。总收益：210。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：贝斯,1 | 钢琴,1 | 买入结果：【未命中】。2022-12-25 00:40:58 吉他。本次回收：0。总投入：1188。总回收：2050。总收益：208。
同意买入。买入操作配置【开启】。买入计量为13。模拟买入：贝斯,6 | 小提琴,6 | 买入结果：【命中】。2022-12-25 00:43:52 小提琴。本次回收：30。总投入：1201。总回收：2080。总收益：215。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-25 00:44:50 吉他。本次回收：0。总投入：1201。总回收：2080。总收益：215。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 吉他,0 | 同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-25 01:06:06 圆号。本次回收：0。总投入：1201。总回收：2080。总收益：215。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 钢琴,0 | 买入结果：【命中】。2022-12-25 01:09:00 贝斯。本次回收：0。总投入：1201。总回收：2080。总收益：215。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 小提琴,0 | 买入结果：【命中】。2022-12-25 01:09:58 贝斯。本次回收：0。总投入：1201。总回收：2080。总收益：215。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-25 01:10:56 钢琴。本次回收：0。总投入：1201。总回收：2080。总收益：215。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 钢琴,0 | 买入结果：【命中】。2022-12-25 01:12:52 贝斯。本次回收：0。总投入：1201。总回收：2080。总收益：215。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：钢琴,1 | 小提琴,1 | 买入结果：【未命中】。2022-12-25 01:13:50 贝斯。本次回收：0。总投入：1203。总回收：2080。总收益：214。
同意买入。买入操作配置【开启】。买入计量为13。模拟买入：吉他,6 | 钢琴,6 | 买入结果：【未命中】。2022-12-25 01:15:46 萨克斯风。本次回收：0。总投入：1216。总回收：2080。总收益：202。
同意买入。买入操作配置【开启】。买入计量为86。模拟买入：钢琴,43 | 小提琴,43 | 同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 小提琴,0 | 买入结果：【命中】。2022-12-25 01:44:46 小提琴。本次回收：0。总投入：1302。总回收：2080。总收益：122。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 小提琴,0 | 买入结果：【命中】。2022-12-25 01:52:30 小提琴。本次回收：0。总投入：1302。总回收：2080。总收益：122。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 小提琴,0 | 买入结果：【命中】。2022-12-25 02:04:06 小提琴。本次回收：0。总投入：1302。总回收：2080。总收益：122。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：吉他,1 | 小提琴,1 | 买入结果：【命中】。2022-12-25 02:07:00 吉他。本次回收：5。总投入：1304。总回收：2085。总收益：124。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 小提琴,0 | 买入结果：【命中】。2022-12-25 02:07:58 钢琴。本次回收：0。总投入：1304。总回收：2085。总收益：124。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：贝斯,1 | 小提琴,1 | 买入结果：【未命中】。2022-12-25 02:08:56 圆号。本次回收：0。总投入：1306。总回收：2085。总收益：122。
同意买入。买入操作配置【开启】。买入计量为13。模拟买入：贝斯,6 | 钢琴,6 | 买入结果：【未命中】。2022-12-25 02:16:40 小提琴。本次回收：0。总投入：1319。总回收：2085。总收益：110。
同意买入。买入操作配置【开启】。买入计量为86。模拟买入：吉他,43 | 小提琴,43 | 同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 贝斯,0 | 买入结果：【命中】。2022-12-25 02:35:02 吉他。本次回收：0。总投入：1405。总回收：2085。总收益：31。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 吉他,0 | 买入结果：【未命中】。2022-12-25 02:39:52 小提琴。本次回收：0。总投入：1405。总回收：2085。总收益：31。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 钢琴,0 | 买入结果：【命中】。2022-12-25 02:43:44 钢琴。本次回收：0。总投入：1405。总回收：2085。总收益：31。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-25 02:48:34 贝斯。本次回收：0。总投入：1405。总回收：2085。总收益：31。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-25 02:54:22 架子鼓。本次回收：0。总投入：1405。总回收：2085。总收益：31。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-25 02:56:18 贝斯。本次回收：0。总投入：1405。总回收：2085。总收益：31。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 贝斯,0 | 买入结果：【未命中】。2022-12-25 02:58:14 钢琴。本次回收：0。总投入：1405。总回收：2085。总收益：31。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 贝斯,0 | 买入结果：【未命中】。2022-12-25 03:01:08 竖琴。本次回收：0。总投入：1405。总回收：2085。总收益：31。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 贝斯,0 | 买入结果：【命中】。2022-12-25 03:05:58 贝斯。本次回收：0。总投入：1405。总回收：2085。总收益：31。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-25 03:06:56 钢琴。本次回收：0。总投入：1405。总回收：2085。总收益：31。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 钢琴,0 | 买入结果：【命中】。2022-12-25 03:11:46 钢琴。本次回收：0。总投入：1405。总回收：2085。总收益：31。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 吉他,0 | 买入结果：【未命中】。2022-12-25 03:12:44 钢琴。本次回收：0。总投入：1405。总回收：2085。总收益：31。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 贝斯,0 | 买入结果：【未命中】。2022-12-25 03:15:38 吉他。本次回收：0。总投入：1405。总回收：2085。总收益：31。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 小提琴,0 | 买入结果：【命中】。2022-12-25 03:17:34 贝斯。本次回收：0。总投入：1405。总回收：2085。总收益：31。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 钢琴,0 | 买入结果：【命中】。2022-12-25 03:18:32 小提琴。本次回收：0。总投入：1405。总回收：2085。总收益：31。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：贝斯,1 | 小提琴,1 | 买入结果：【未命中】。2022-12-25 03:34:58 架子鼓。本次回收：0。总投入：1407。总回收：2085。总收益：29。
同意买入。买入操作配置【开启】。买入计量为13。模拟买入：贝斯,6 | 小提琴,6 | 买入结果：【未命中】。2022-12-25 03:42:42 竖琴。本次回收：0。总投入：1420。总回收：2085。总收益：17。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 钢琴,0 | 买入结果：【命中】。2022-12-25 03:44:38 钢琴。本次回收：0。总投入：1420。总回收：2085。总收益：17。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-25 03:45:36 吉他。本次回收：0。总投入：1420。总回收：2085。总收益：17。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 小提琴,0 | 买入结果：【命中】。2022-12-25 03:48:30 贝斯。本次回收：0。总投入：1420。总回收：2085。总收益：17。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-25 03:49:28 萨克斯风。本次回收：0。总投入：1420。总回收：2085。总收益：17。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-25 03:52:22 吉他。本次回收：0。总投入：1420。总回收：2085。总收益：17。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 吉他,0 | 买入结果：【命中】。2022-12-25 03:55:16 吉他。本次回收：0。总投入：1420。总回收：2085。总收益：17。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 贝斯,0 | 买入结果：【未命中】。2022-12-25 03:56:14 小提琴。本次回收：0。总投入：1420。总回收：2085。总收益：17。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-25 04:07:50 吉他。本次回收：0。总投入：1420。总回收：2085。总收益：17。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 吉他,0 | 买入结果：【命中】。2022-12-25 04:11:42 钢琴。本次回收：0。总投入：1420。总回收：2085。总收益：17。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-25 04:12:40 吉他。本次回收：0。总投入：1420。总回收：2085。总收益：17。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 贝斯,0 | 买入结果：【命中】。2022-12-25 04:15:34 小提琴。本次回收：0。总投入：1420。总回收：2085。总收益：17。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 吉他,0 | 买入结果：【未命中】。2022-12-25 04:16:32 架子鼓。本次回收：0。总投入：1420。总回收：2085。总收益：17。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 吉他,0 | 买入结果：【命中】。2022-12-25 04:20:24 贝斯。本次回收：0。总投入：1420。总回收：2085。总收益：17。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：钢琴,1 | 吉他,1 | 买入结果：【命中】。2022-12-25 04:21:22 吉他。本次回收：5。总投入：1422。总回收：2090。总收益：18。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-25 04:22:20 钢琴。本次回收：0。总投入：1422。总回收：2090。总收益：18。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 吉他,0 | 买入结果：【命中】。2022-12-25 04:24:16 贝斯。本次回收：0。总投入：1422。总回收：2090。总收益：18。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：吉他,1 | 小提琴,1 | 买入结果：【未命中】。2022-12-25 04:31:02 架子鼓。本次回收：0。总投入：1424。总回收：2090。总收益：17。
同意买入。买入操作配置【开启】。买入计量为13。模拟买入：钢琴,6 | 吉他,6 | 买入结果：【未命中】。2022-12-25 04:34:54 萨克斯风。本次回收：0。总投入：1437。总回收：2090。总收益：5。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 吉他,0 | 买入结果：【未命中】。2022-12-25 04:36:50 贝斯。本次回收：0。总投入：1437。总回收：2090。总收益：5。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 吉他,0 | 买入结果：【命中】。2022-12-25 04:39:44 吉他。本次回收：0。总投入：1437。总回收：2090。总收益：5。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 吉他,0 | 买入结果：【未命中】。2022-12-25 04:45:32 钢琴。本次回收：0。总投入：1437。总回收：2090。总收益：5。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 贝斯,0 | 买入结果：【命中】。2022-12-25 04:52:18 贝斯。本次回收：0。总投入：1437。总回收：2090。总收益：5。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 吉他,0 | 买入结果：【未命中】。2022-12-25 05:01:00 贝斯。本次回收：0。总投入：1437。总回收：2090。总收益：5。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 贝斯,0 | 买入结果：【未命中】。2022-12-25 05:03:54 架子鼓。本次回收：0。总投入：1437。总回收：2090。总收益：5。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 贝斯,0 | 买入结果：【未命中】。2022-12-25 05:08:44 架子鼓。本次回收：0。总投入：1437。总回收：2090。总收益：5。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 贝斯,0 | 买入结果：【未命中】。2022-12-25 05:15:30 吉他。本次回收：0。总投入：1437。总回收：2090。总收益：5。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 吉他,0 | 买入结果：【命中】。2022-12-25 05:17:26 吉他。本次回收：0。总投入：1437。总回收：2090。总收益：5。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 贝斯,0 | 买入结果：【未命中】。2022-12-25 05:18:24 吉他。本次回收：0。总投入：1437。总回收：2090。总收益：5。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 吉他,0 | 买入结果：【未命中】。2022-12-25 05:21:18 贝斯。本次回收：0。总投入：1437。总回收：2090。总收益：5。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 吉他,0 | 买入结果：【未命中】。2022-12-25 05:22:16 钢琴。本次回收：0。总投入：1437。总回收：2090。总收益：5。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 钢琴,0 | 买入结果：【命中】。2022-12-25 05:25:10 钢琴。本次回收：0。总投入：1437。总回收：2090。总收益：5。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-25 05:52:14 竖琴。本次回收：0。总投入：1437。总回收：2090。总收益：5。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-25 05:56:06 架子鼓。本次回收：0。总投入：1437。总回收：2090。总收益：5。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-25 06:01:54 钢琴。本次回收：0。总投入：1437。总回收：2090。总收益：5。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-25 06:04:48 小提琴。本次回收：0。总投入：1437。总回收：2090。总收益：5。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-25 06:08:40 架子鼓。本次回收：0。总投入：1437。总回收：2090。总收益：5。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 钢琴,0 | 买入结果：【命中】。2022-12-25 06:10:36 钢琴。本次回收：0。总投入：1437。总回收：2090。总收益：5。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-25 06:11:34 钢琴。本次回收：0。总投入：1437。总回收：2090。总收益：5。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 小提琴,0 | 买入结果：【命中】。2022-12-25 06:17:22 钢琴。本次回收：0。总投入：1437。总回收：2090。总收益：5。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 钢琴,0 | 买入结果：【命中】。2022-12-25 06:20:16 钢琴。本次回收：0。总投入：1437。总回收：2090。总收益：5。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：贝斯,1 | 小提琴,1 | 买入结果：【命中】。2022-12-25 06:32:50 贝斯。本次回收：5。总投入：1439。总回收：2095。总收益：6。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-25 06:33:48 吉他。本次回收：0。总投入：1439。总回收：2095。总收益：6。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 小提琴,0 | 买入结果：【命中】。2022-12-25 06:42:30 吉他。本次回收：0。总投入：1439。总回收：2095。总收益：6。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：吉他,1 | 小提琴,1 | 买入结果：【未命中】。2022-12-25 06:52:10 圆号。本次回收：0。总投入：1441。总回收：2095。总收益：4。
同意买入。买入操作配置【开启】。买入计量为13。模拟买入：贝斯,6 | 小提琴,6 | 买入结果：【未命中】。2022-12-25 06:55:04 吉他。本次回收：0。总投入：1454。总回收：2095。总收益：-7。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 贝斯,0 | 买入结果：【未命中】。2022-12-25 06:58:56 小提琴。本次回收：0。总投入：1454。总回收：2095。总收益：-7。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 贝斯,0 | 买入结果：【命中】。2022-12-25 06:59:54 钢琴。本次回收：0。总投入：1454。总回收：2095。总收益：-7。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-25 07:00:52 贝斯。本次回收：0。总投入：1454。总回收：2095。总收益：-7。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-25 07:04:44 贝斯。本次回收：0。总投入：1454。总回收：2095。总收益：-7。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-25 07:05:42 贝斯。本次回收：0。总投入：1454。总回收：2095。总收益：-7。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 小提琴,0 | 同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 贝斯,0 | 买入结果：【命中】。2022-12-25 07:31:48 贝斯。本次回收：0。总投入：1454。总回收：2095。总收益：-7。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 贝斯,0 | 买入结果：【未命中】。2022-12-25 07:35:40 竖琴。本次回收：0。总投入：1454。总回收：2095。总收益：-7。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 钢琴,0 | 买入结果：【命中】。2022-12-25 07:37:36 吉他。本次回收：0。总投入：1454。总回收：2095。总收益：-7。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-25 07:38:34 小提琴。本次回收：0。总投入：1454。总回收：2095。总收益：-7。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 钢琴,0 | 买入结果：【命中】。2022-12-25 07:48:14 贝斯。本次回收：0。总投入：1454。总回收：2095。总收益：-7。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：钢琴,1 | 小提琴,1 | 买入结果：【未命中】。2022-12-25 07:49:12 吉他。本次回收：0。总投入：1456。总回收：2095。总收益：-9。
同意买入。买入操作配置【开启】。买入计量为13。模拟买入：贝斯,6 | 钢琴,6 | 买入结果：【命中】。2022-12-25 07:53:04 钢琴。本次回收：30。总投入：1469。总回收：2125。总收益：-2。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 吉他,0 | 买入结果：【未命中】。2022-12-25 07:55:58 贝斯。本次回收：0。总投入：1469。总回收：2125。总收益：-2。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 吉他,0 | 买入结果：【未命中】。2022-12-25 08:05:38 架子鼓。本次回收：0。总投入：1469。总回收：2125。总收益：-2。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-25 08:08:32 吉他。本次回收：0。总投入：1469。总回收：2125。总收益：-2。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 小提琴,0 | 买入结果：【命中】。2022-12-25 08:09:30 贝斯。本次回收：0。总投入：1469。总回收：2125。总收益：-2。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 吉他,0 | 买入结果：【命中】。2022-12-25 08:10:28 小提琴。本次回收：0。总投入：1469。总回收：2125。总收益：-2。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 吉他,0 | 买入结果：【未命中】。2022-12-25 08:11:26 架子鼓。本次回收：0。总投入：1469。总回收：2125。总收益：-2。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-25 08:12:24 小提琴。本次回收：0。总投入：1469。总回收：2125。总收益：-2。
